Date,Price
2022-11-25,13999
2022-12-09,13599
2022-12-12,12499
2022-12-16,11999
2022-12-19,11999
2022-12-22,13999
2022-12-25,13999
2022-12-28,13999
2022-12-31,13999
2023-01-03,13999
2023-01-06,13999
2023-01-09,13999
2023-01-13,13999
2023-01-16,12999
2023-01-20,12999
2023-01-23,12999
2023-01-27,11999
2023-01-30,11999
2023-02-02,13999
2023-02-06,11999
2023-02-09,12999
2023-02-17,13999
2023-02-21,13499
2023-02-25,13499
2023-03-01,13499
2023-03-05,12499
2023-03-09,13999
2023-03-11,13999
2023-03-14,13499
2023-03-17,11999
2023-03-20,11999
2023-03-23,13499
2023-03-24,13499
2023-03-27,13499
2023-03-30,13499
2023-04-02,13499
2023-04-05,11999
2023-04-06,11999
2023-04-09,11999
2023-04-12,13499
2023-04-14,11999
2023-04-17,11999
2023-04-21,11999
2023-04-23,11999
2023-04-26,11999
2023-04-28,11999
2023-04-30,11999
2023-05-05,10999
2023-05-11,11999
2023-05-14,11999
2023-05-16,11999
2023-05-19,11999
2023-05-26,11999
2023-05-29,11999
2023-06-02,11999
2023-06-07,11999
2023-06-12,10999
2023-06-17,11999
2023-06-20,11999
2023-06-23,11999
2023-06-29,11999
2023-07-04,11999
2023-07-08,11999
2023-07-13,11999
2023-07-19,11999
2023-07-23,11999
2023-07-24,11499
2023-07-25,11999
2023-07-27,11499
2023-08-02,11999
2023-08-04,11999
2023-08-06,11999
2023-08-11,11999
2023-08-13,11999
2023-08-14,12999
2023-08-19,11999
2023-08-22,10999
2023-08-26,10999
2023-08-27,10999
2023-08-31,11999
2023-09-07,11999
2023-09-10,11999
2023-09-18,11999
2023-09-23,11999
2023-09-26,11999
2023-09-27,11499
2023-10-02,11999
2023-10-03,11999
2023-10-06,11999
2023-10-12,11999
2023-10-14,11999
2023-10-19,11999
2023-10-21,11999
2023-10-22,11999
2023-10-23,11999
2023-10-25,12499
2023-11-02,11999
2023-11-05,11999
2023-11-08,11999
2023-11-12,14233
2023-11-16,14375
2023-11-23,14880
2023-12-03,13316
2023-12-08,11999
2023-12-12,11999
2023-12-16,11999
2023-12-18,11999
2023-12-24,11999
2023-12-30,11999
2023-12-31,11999
2024-01-03,11999
2024-01-06,11999
2024-01-11,11999
2024-01-13,9999
2024-01-14,11999
2024-01-16,11999
2024-01-18,11999
2024-01-21,11999
2024-01-24,10999
2024-01-31,10999
2024-02-04,10999
2024-02-09,10999
2024-02-12,12139
2024-02-17,10999
2024-02-18,10999
2024-02-25,13316
2024-03-03,13336
2024-03-09,10999
2024-03-13,10999
2024-03-19,10999
2024-03-23,9999
2024-03-25,9999
2024-03-26,9999
2024-03-29,9999
2024-04-01,13336
2024-04-07,13336
2024-04-16,13336
2024-04-20,13336
2024-04-29,9999
2024-05-01,9999
2024-05-02,9999
2024-05-05,11499
2024-05-07,11499
2024-05-09,9999
2024-05-13,13336
2024-05-17,13336
2024-05-26,13336
2025-04-25,11799
2025-04-28,11799
2025-05-02,13336
2025-05-03,13336
2025-05-07,13336
2025-05-10,13336
2025-05-13,13336
2025-05-16,13336
2025-05-17,13336
2025-05-19,13336
2025-05-23,13336
2025-05-27,13336
2025-05-30,13336
2025-06-02,11799
2025-06-05,11799
2025-06-08,11799
2025-06-11,11799
2025-06-15,7999
2025-06-18,7999
2025-06-19,7999
2025-06-20,7999
2025-06-22,7999
2025-06-23,7999
2025-06-24,7999
2025-06-27,7999
2025-06-28,7999
2025-06-29,7999
2025-07-02,11799
2025-07-06,11799
2025-07-10,11799
2025-07-12,7989
2025-07-13,7989
2025-07-14,7989
2025-07-17,7989
2025-07-18,7989
2025-07-21,7989
2025-07-23,7989
2025-07-24,7989
2025-07-25,7989
2025-07-28,8489
2025-07-31,8489
2025-08-03,8489
2025-08-06,6999
2025-08-07,6999
2025-08-08,6999
2025-08-09,6999
2025-08-10,6999
2025-08-11,6999
2025-08-12,6999
2025-08-13,6999
2025-08-14,6999
2025-08-15,6999
2025-08-16,6999
2025-08-17,6999
2025-08-20,6999
2025-08-21,6999
2025-08-23,6999
2025-08-24,6999
2025-08-25,6999
2025-08-26,6999
2025-08-28,6999
2025-08-29,6999
2025-08-30,6999
2025-08-31,6999
2025-09-01,6999
2025-09-02,6999
2025-09-03,6999
2025-09-04,6999
2025-09-05,6999
2025-09-06,6999
2025-09-07,6999
2025-09-08,5000
2025-09-09,4499
2025-09-10,4499
2025-09-11,4499
2025-09-12,4499
2025-09-13,4499
2025-09-14,4499
2025-09-15,4499
2025-09-16,4499
2025-09-17,4499
2025-09-18,4499
2025-09-19,4499
2025-09-20,4499
2025-09-21,4499
2025-09-22,4299
2025-09-23,4299
2025-09-24,4299
2025-09-25,4299
2025-09-26,4299
2025-09-27,4299
