Date,Price
2024-05-02,374
2024-05-13,1100
2024-06-27,440
2024-07-11,1100
2024-10-31,440
2024-11-07,1100
2024-11-27,440
2024-12-05,1100
2024-12-12,440
2024-12-18,1100
2024-12-20,440
2025-01-03,1100
2025-01-30,440
2025-02-06,1100
2025-03-13,440
2025-03-20,1100
2025-06-27,374
2025-06-27,374
2025-07-10,1100
2025-09-17,275
2025-09-25,1100
2025-09-29,275
2025-10-06,1100
2025-10-27,374
2025-11-03,1100
2025-12-18,330
2026-01-05,1100
2026-02-17,385
2026-02-24,1100
2026-03-19,275
2026-03-26,1100
2026-04-14,275
2026-04-15,275
