Date,Price
2024-06-27,1119
2024-07-11,2239
2024-08-09,1119
2024-08-16,2239
2024-09-16,895
2024-09-23,2239
2024-10-15,1680
2024-10-30,890
2024-11-06,1680
2024-11-27,840
2024-12-05,1680
2024-12-09,756
2024-12-16,1680
2024-12-20,756
2025-01-03,1680
2025-01-18,672
2025-02-01,1680
2025-03-06,672
2025-03-20,1680
2025-04-18,672
2025-05-02,1680
2025-06-26,504
2025-07-10,1680
2025-07-13,504
2025-07-27,1680
2025-09-25,554
2025-10-06,1680
2025-11-21,840
2025-12-05,1680
2025-12-18,840
2026-01-05,1680
2026-01-13,840
2026-01-27,1680
2026-02-28,840
2026-03-14,1680
2026-03-19,554
2026-03-26,1680
2026-04-14,1349
2026-04-15,1349
