Date,Price
2024-05-06,640
2024-05-13,1600
2024-06-27,400
2024-07-11,1600
2024-08-01,400
2024-08-15,1600
2024-09-20,400
2024-10-02,1600
2024-11-07,400
2024-11-21,1600
2024-11-28,320
2024-12-05,1600
2024-12-20,320
2025-01-03,1600
2025-01-16,320
2025-01-29,1600
2025-02-28,320
2025-03-12,1600
2025-03-13,320
2025-03-20,1600
2025-04-11,240
2025-04-24,1600
2025-05-26,240
2025-06-08,1600
2025-06-27,240
2025-07-23,1600
2025-08-22,240
2025-09-05,1600
2025-09-29,240
2025-10-20,1600
2025-11-19,240
2025-12-03,1600
2025-12-19,240
2026-01-06,160
2026-01-19,1600
2026-02-18,160
2026-03-04,1600
2026-03-19,160
2026-03-26,1600
2026-04-03,160
2026-04-15,160
