Date,Price
2024-04-15,719
2024-04-29,2399
2024-05-29,719
2024-06-11,2399
2024-06-27,719
2024-07-25,2399
2024-08-24,719
2024-09-07,2399
2024-10-21,719
2024-11-04,2399
2024-11-27,719
2024-12-05,2399
2024-12-14,239
2024-12-20,479
2025-01-03,2399
2025-01-20,239
2025-02-03,2399
2025-03-05,479
2025-03-20,2399
2025-04-14,479
2025-04-28,2399
2025-05-28,479
2025-06-10,2399
2025-06-27,479
2025-07-24,2399
2025-08-23,479
2025-09-06,2399
2025-09-29,479
2025-10-06,2399
2025-10-07,479
2025-10-21,2399
2025-12-03,479
2025-12-17,2399
2025-12-19,479
2026-01-05,2399
2026-01-16,479
2026-01-30,2399
2026-03-09,479
2026-03-26,2399
2026-04-15,2399
