Date,Positive_Reviews,Negative_Reviews
2023-10-01,2106,1625
2023-11-01,3341,955
2023-12-01,1921,755
2024-01-01,1102,503
2024-02-01,870,442
2024-03-01,852,377
2024-04-01,790,276
2024-05-01,1246,346
2024-06-01,2148,656
2024-07-01,618,185
2024-08-01,1351,380
2024-09-01,1310,491
2024-10-01,2111,1328
2024-11-01,990,454
2024-12-01,1220,552
2025-01-01,1117,463
2025-02-01,871,262
2025-03-01,758,325
2025-04-01,815,268
2025-05-01,768,560
2025-06-01,673,313
2025-07-01,979,435
2025-08-01,1059,438
2025-09-01,740,294
2025-10-01,1124,333
2025-11-01,819,241
2025-12-01,1483,1875
2026-01-01,1029,351
2026-02-01,741,232
2026-03-01,951,327
2026-04-01,281,92
