Date,Positive_Reviews,Negative_Reviews
2023-07-01,1236,329
2023-08-01,177,59
2023-09-01,40,13
2023-10-01,26,8
2023-11-01,147,33
2023-12-01,27,17
2024-01-01,52,25
2024-02-01,22,8
2024-03-01,35,13
2024-04-01,20,19
2024-05-01,18,7
2024-06-01,43,15
2024-07-01,24,10
2024-08-01,10,4
2024-09-01,7,3
2024-10-01,6,2
2024-11-01,4,1
2024-12-01,14,10
2025-01-01,5,2
2025-02-01,9,3
2025-03-01,3,3
2025-04-01,3,1
2025-05-01,5,1
2025-06-01,22,14
2025-07-01,8,5
2025-08-01,8,7
2025-09-01,6,1
2025-10-01,6,3
2025-11-01,3,2
2025-12-01,10,4
2026-01-01,5,3
2026-02-01,7,8
2026-03-01,3,1
2026-04-01,6,2
