Date,Positive_Reviews,Negative_Reviews
2019-12-01,5652,65
2020-01-01,4820,76
2020-02-01,2239,43
2020-03-01,1914,39
2020-04-01,790,11
2020-05-01,2222,44
2020-06-01,1689,25
2020-07-01,2252,27
2020-08-01,1051,27
2020-09-01,10487,141
2020-10-01,12427,147
2020-11-01,34152,169
2020-12-01,17157,203
2021-01-01,12799,183
2021-02-01,6739,94
2021-03-01,6816,141
2021-04-01,4108,73
2021-05-01,3112,61
2021-06-01,3763,74
2021-07-01,5939,134
2021-08-01,3483,77
2021-09-01,2760,49
2021-10-01,3300,59
2021-11-01,5302,92
2021-12-01,4305,92
2022-01-01,4170,102
2022-02-01,3406,77
2022-03-01,2784,71
2022-04-01,2273,60
2022-05-01,1866,32
2022-06-01,2079,46
2022-07-01,3510,89
2022-08-01,2964,63
2022-09-01,2679,59
2022-10-01,2135,47
2022-11-01,3793,70
2022-12-01,6183,160
2023-01-01,4907,115
2023-02-01,2172,68
2023-03-01,2383,67
2023-04-01,2455,83
2023-05-01,1688,54
2023-06-01,1408,29
2023-07-01,2739,73
2023-08-01,1585,35
2023-09-01,1744,48
2023-10-01,1582,56
2023-11-01,3071,63
2023-12-01,2958,84
2024-01-01,2428,69
2024-02-01,2041,68
2024-03-01,2023,66
2024-04-01,1850,74
2024-05-01,9001,315
2024-06-01,2965,118
2024-07-01,3072,120
2024-08-01,1560,57
2024-09-01,1156,47
2024-10-01,1050,44
2024-11-01,1758,53
2024-12-01,2393,91
2025-01-01,1807,80
2025-02-01,1464,49
2025-03-01,1681,57
2025-04-01,1108,52
2025-05-01,999,41
2025-06-01,1205,54
2025-07-01,2231,83
2025-08-01,1162,41
2025-09-01,2741,144
2025-10-01,3685,190
2025-11-01,2263,73
2025-12-01,2286,110
2026-01-01,2338,130
2026-02-01,1405,87
2026-03-01,1735,69
2026-04-01,736,31
