Date,Positive_Reviews,Negative_Reviews
2017-02-01,392,21
2017-03-01,1092,52
2017-04-01,529,28
2017-05-01,604,33
2017-06-01,1291,83
2017-07-01,1694,100
2017-08-01,1554,107
2017-09-01,613,27
2017-10-01,934,33
2017-11-01,3947,49
2017-12-01,1198,84
2018-01-01,1271,76
2018-02-01,797,41
2018-03-01,764,39
2018-04-01,1090,51
2018-05-01,732,18
2018-06-01,1003,46
2018-07-01,1188,59
2018-08-01,1569,75
2018-09-01,913,67
2018-10-01,600,27
2018-11-01,4846,43
2018-12-01,912,59
2019-01-01,1091,72
2019-02-01,1381,56
2019-03-01,850,39
2019-04-01,608,21
2019-05-01,582,23
2019-06-01,3315,65
2019-07-01,3894,114
2019-08-01,772,39
2019-09-01,570,32
2019-10-01,1056,41
2019-11-01,5770,76
2019-12-01,4345,92
2020-01-01,4643,124
2020-02-01,4259,114
2020-03-01,4399,101
2020-04-01,3960,80
2020-05-01,5015,170
2020-06-01,3955,88
2020-07-01,5812,203
2020-08-01,4844,185
2020-09-01,3334,71
2020-10-01,3075,91
2020-11-01,5735,129
2020-12-01,5823,151
2021-01-01,6267,175
2021-02-01,4150,104
2021-03-01,3443,90
2021-04-01,3204,98
2021-05-01,3057,77
2021-06-01,4734,133
2021-07-01,7060,255
2021-08-01,7120,234
2021-09-01,4254,135
2021-10-01,3871,135
2021-11-01,6880,186
2021-12-01,6602,254
2022-01-01,6876,222
2022-02-01,5753,227
2022-03-01,5248,175
2022-04-01,3972,152
2022-05-01,7263,350
2022-06-01,5620,214
2022-07-01,6344,238
2022-08-01,4313,148
2022-09-01,3215,86
2022-10-01,3450,139
2022-11-01,6837,201
2022-12-01,6049,233
2023-01-01,6757,232
2023-02-01,4245,145
2023-03-01,4548,179
2023-04-01,3863,143
2023-05-01,3123,130
2023-06-01,3402,135
2023-07-01,6940,247
2023-08-01,4396,147
2023-09-01,3630,151
2023-10-01,3625,141
2023-11-01,6852,232
2023-12-01,5183,236
2024-01-01,5680,236
2024-02-01,3830,172
2024-03-01,5041,247
2024-04-01,4349,231
2024-05-01,3869,181
2024-06-01,4371,190
2024-07-01,6863,361
2024-08-01,4424,176
2024-09-01,3621,175
2024-10-01,3522,154
2024-11-01,5231,237
2024-12-01,6190,306
2025-01-01,7332,403
2025-02-01,4384,199
2025-03-01,5147,252
2025-04-01,5512,266
2025-05-01,4744,216
2025-06-01,4675,218
2025-07-01,6426,332
2025-08-01,10854,572
2025-09-01,29850,1872
2025-10-01,15223,619
2025-11-01,12156,498
2025-12-01,9226,421
2026-01-01,9120,462
2026-02-01,6171,266
2026-03-01,5393,255
2026-04-01,2424,95
