Date,Positive_Reviews,Negative_Reviews
2023-10-01,1311,20
2023-11-01,92430,1264
2023-12-01,92383,2531
2024-01-01,66181,2185
2024-02-01,28113,1095
2024-03-01,14756,712
2024-04-01,15691,720
2024-05-01,6777,333
2024-06-01,8011,365
2024-07-01,8691,441
2024-08-01,8206,414
2024-09-01,6197,299
2024-10-01,5655,290
2024-11-01,9084,283
2024-12-01,8042,255
2025-01-01,8131,355
2025-02-01,5656,231
2025-03-01,4629,298
2025-04-01,2276,178
2025-05-01,1842,139
2025-06-01,2956,165
2025-07-01,2142,132
2025-08-01,1744,166
2025-09-01,1357,100
2025-10-01,1733,164
2025-11-01,2629,150
2025-12-01,1934,113
2026-01-01,2120,143
2026-02-01,1590,104
2026-03-01,1609,119
2026-04-01,1522,101
