Date,Positive_Reviews,Negative_Reviews
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,4,6
2012-03-01,0,4
2012-04-01,6,5
2012-05-01,3,3
2012-06-01,2,0
2012-07-01,5,2
2012-08-01,2,1
2012-09-01,1,0
2012-10-01,1,0
2012-11-01,0,1
2012-12-01,2,2
2013-01-01,0,2
2013-03-01,2,3
2013-04-01,1,1
2013-05-01,1,1
2013-07-01,0,4
2013-08-01,2,4
2013-09-01,3,0
2013-10-01,1,2
2013-11-01,4,4
2013-12-01,15,21
2014-01-01,12,12
2014-02-01,8,10
2014-03-01,6,11
2014-04-01,3,8
2014-05-01,7,8
2014-06-01,7,17
2014-07-01,6,8
2014-08-01,3,7
2014-09-01,3,8
2014-10-01,4,10
2014-11-01,3,9
2014-12-01,13,12
2015-01-01,10,12
2015-02-01,4,8
2015-03-01,3,8
2015-04-01,2,6
2015-05-01,7,12
2015-06-01,3,20
2015-07-01,9,18
2015-08-01,5,6
2015-09-01,3,4
2015-10-01,5,7
2015-11-01,7,12
2015-12-01,12,23
2016-01-01,12,26
2016-02-01,7,16
2016-03-01,6,7
2016-04-01,4,1
2016-05-01,5,15
2016-06-01,10,16
2016-07-01,6,18
2016-08-01,2,4
2016-09-01,0,9
2016-10-01,8,6
2016-11-01,21,15
2016-12-01,13,14
2017-01-01,5,16
2017-02-01,6,9
2017-03-01,5,7
2017-04-01,5,7
2017-05-01,7,6
2017-06-01,7,17
2017-07-01,11,18
2017-08-01,5,11
2017-09-01,0,9
2017-10-01,4,13
2017-11-01,17,19
2017-12-01,12,21
2018-01-01,6,23
2018-02-01,5,14
2018-03-01,7,9
2018-04-01,7,4
2018-05-01,1,5
2018-06-01,7,16
2018-07-01,15,19
2018-08-01,4,8
2018-09-01,2,8
2018-10-01,3,6
2018-11-01,9,13
2018-12-01,8,18
2019-01-01,10,17
2019-02-01,6,17
2019-03-01,4,6
2019-04-01,4,6
2019-05-01,7,4
2019-06-01,10,15
2019-07-01,23,28
2019-08-01,4,6
2019-09-01,6,3
2019-10-01,11,28
2019-11-01,12,6
2019-12-01,4,8
2020-01-01,8,0
2020-02-01,2,4
2020-03-01,5,7
2020-04-01,8,14
2020-05-01,7,13
2020-06-01,9,16
2020-07-01,9,27
2020-08-01,3,13
2020-09-01,6,10
2020-10-01,8,11
2020-11-01,14,17
2020-12-01,13,24
2021-01-01,8,19
2021-02-01,7,7
2021-03-01,3,11
2021-04-01,1,13
2021-05-01,7,12
2021-06-01,7,18
2021-07-01,11,21
2021-08-01,6,12
2021-09-01,4,8
2021-10-01,6,13
2021-11-01,13,23
2021-12-01,21,26
2022-01-01,23,13
2022-02-01,11,9
2022-03-01,15,3
2022-04-01,15,15
2022-05-01,11,9
2022-06-01,15,35
2022-07-01,33,22
2022-08-01,11,12
2022-09-01,10,11
2022-10-01,8,11
2022-11-01,30,45
2022-12-01,16,8
2023-01-01,7,13
2023-02-01,6,12
2023-03-01,6,4
2023-04-01,0,4
2023-05-01,0,7
2023-06-01,3,2
2023-07-01,1,5
2023-08-01,4,3
2023-09-01,2,3
2023-10-01,109,61
2023-11-01,185,148
2023-12-01,93,103
2024-01-01,74,70
2024-02-01,41,45
2024-03-01,52,82
2024-04-01,40,65
2024-05-01,30,43
2024-06-01,44,60
2024-07-01,62,71
2024-08-01,23,28
2024-09-01,30,23
2024-10-01,27,21
2024-11-01,24,16
2024-12-01,33,32
2025-01-01,37,26
2025-02-01,24,24
2025-03-01,38,21
2025-04-01,25,24
2025-05-01,30,17
2025-06-01,27,27
2025-07-01,36,35
2025-08-01,35,29
2025-09-01,31,38
2025-10-01,60,53
2025-11-01,39,24
2025-12-01,43,38
2026-01-01,50,47
2026-02-01,37,24
2026-03-01,37,24
2026-04-01,15,7
