Date,Positive_Reviews,Negative_Reviews
2023-05-01,91,156
2023-06-01,22,43
2023-07-01,12,14
2023-08-01,7,7
2023-09-01,4,5
2023-10-01,2,0
2023-11-01,7,8
2023-12-01,11,3
2024-01-01,17,8
2024-02-01,3,3
2024-03-01,4,4
2024-04-01,5,3
2024-05-01,4,5
2024-06-01,5,6
2024-07-01,1,4
2024-08-01,5,6
2024-09-01,7,7
2024-10-01,1,0
2024-11-01,7,4
2024-12-01,36,51
2025-01-01,17,23
2025-02-01,17,19
2025-03-01,9,12
2025-04-01,4,9
2025-05-01,1,9
2025-06-01,6,7
2025-07-01,6,9
2025-08-01,3,6
2025-09-01,8,5
2025-10-01,4,8
2025-11-01,3,4
2025-12-01,6,12
2026-01-01,5,4
2026-02-01,6,5
2026-03-01,3,7
2026-04-01,1,2
