Date,Positive_Reviews,Negative_Reviews
2023-03-01,6968,8920
2023-04-01,348,292
2023-05-01,109,89
2023-06-01,104,269
2023-07-01,157,261
2023-08-01,56,76
2023-09-01,64,93
2023-10-01,125,159
2023-11-01,223,98
2023-12-01,148,191
2024-01-01,143,113
2024-02-01,91,151
2024-03-01,93,75
2024-04-01,63,60
2024-05-01,87,38
2024-06-01,28,26
2024-07-01,75,51
2024-08-01,52,117
2024-09-01,47,68
2024-10-01,54,36
2024-11-01,70,35
2024-12-01,72,28
2025-01-01,65,40
2025-02-01,46,29
2025-03-01,54,39
2025-04-01,62,47
2025-05-01,37,24
2025-06-01,60,38
2025-07-01,62,31
2025-08-01,54,25
2025-09-01,53,18
2025-10-01,43,23
2025-11-01,27,17
2025-12-01,38,24
2026-01-01,54,16
2026-02-01,47,23
2026-03-01,41,21
2026-04-01,18,12
