Date,Positive_Reviews,Negative_Reviews
2023-10-01,9291,8587
2023-11-01,9203,5689
2023-12-01,2649,1880
2024-01-01,1724,1166
2024-02-01,962,962
2024-03-01,1257,1023
2024-04-01,1980,1221
2024-05-01,1013,643
2024-06-01,1339,1178
2024-07-01,931,681
2024-08-01,776,515
2024-09-01,1347,1019
2024-10-01,801,494
2024-11-01,1010,520
2024-12-01,1461,947
2025-01-01,1177,684
2025-02-01,1393,1215
2025-03-01,1276,933
2025-04-01,733,478
2025-05-01,822,524
2025-06-01,1800,1776
2025-07-01,1663,1137
2025-08-01,927,563
2025-09-01,644,320
2025-10-01,1038,595
2025-11-01,1358,647
2025-12-01,1472,866
2026-01-01,1911,997
2026-02-01,1276,961
2026-03-01,2333,1447
2026-04-01,1025,640
