Date,Positive_Reviews,Negative_Reviews,Top_Tags
2015-06-01,8904,2965,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2015-07-01,4305,1339,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2015-08-01,3932,1296,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2015-09-01,2634,673,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2015-10-01,2666,925,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2015-11-01,2545,911,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2015-12-01,2619,1027,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-01-01,2677,1166,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-02-01,2066,633,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-03-01,2261,743,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-04-01,1587,423,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-05-01,2075,567,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-06-01,2388,745,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-07-01,2417,828,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-08-01,1743,627,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-09-01,3731,4523,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-10-01,1576,681,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-11-01,4781,886,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2016-12-01,2170,954,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2017-01-01,2748,1455,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2017-02-01,3432,1976,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2017-03-01,1567,570,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
2017-04-01,2393,1870,Open World Survival Craft|Survival|Multiplayer|Open World|Dinosaurs
