Date,Price
2024-05-27,2920
2024-06-10,3512
2024-06-27,2920
2024-07-11,3512
2024-08-29,2479
2024-09-12,3700
2024-10-29,2479
2024-11-04,3700
2024-11-28,2479
2024-12-05,3700
2024-12-16,2220
2025-01-03,3700
2025-02-10,2035
2025-02-24,3700
2025-03-13,1850
2025-03-20,3700
2025-06-12,1850
2025-06-27,1850
2025-07-10,3700
2025-09-29,1850
2025-10-06,3700
2025-10-08,3670
2025-10-13,3700
2025-11-10,1850
2025-11-17,3700
2025-12-18,1850
2026-01-19,3700
2026-02-23,925
2026-03-02,3700
2026-03-19,925
2026-03-26,3700
2026-04-04,925
2026-04-15,925
