Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-08-01,20110,3727,Mechs|Character Customization|Action|Robots|Third Person
2023-09-01,15984,1239,Mechs|Character Customization|Action|Robots|Third Person
2023-10-01,2511,173,Mechs|Character Customization|Action|Robots|Third Person
2023-11-01,4644,101,Mechs|Character Customization|Action|Robots|Third Person
2023-12-01,1190,84,Mechs|Character Customization|Action|Robots|Third Person
2024-01-01,846,59,Mechs|Character Customization|Action|Robots|Third Person
2024-02-01,1364,210,Mechs|Character Customization|Action|Robots|Third Person
2024-03-01,749,63,Mechs|Character Customization|Action|Robots|Third Person
2024-04-01,461,57,Mechs|Character Customization|Action|Robots|Third Person
2024-05-01,523,31,Mechs|Character Customization|Action|Robots|Third Person
2024-06-01,498,44,Mechs|Character Customization|Action|Robots|Third Person
2024-07-01,1079,124,Mechs|Character Customization|Action|Robots|Third Person
2024-08-01,587,56,Mechs|Character Customization|Action|Robots|Third Person
2024-09-01,443,26,Mechs|Character Customization|Action|Robots|Third Person
2024-10-01,768,163,Mechs|Character Customization|Action|Robots|Third Person
2024-11-01,647,50,Mechs|Character Customization|Action|Robots|Third Person
2024-12-01,847,100,Mechs|Character Customization|Action|Robots|Third Person
2025-01-01,1001,70,Mechs|Character Customization|Action|Robots|Third Person
2025-02-01,411,33,Mechs|Character Customization|Action|Robots|Third Person
2025-03-01,612,74,Mechs|Character Customization|Action|Robots|Third Person
2025-04-01,394,35,Mechs|Character Customization|Action|Robots|Third Person
2025-05-01,465,71,Mechs|Character Customization|Action|Robots|Third Person
2025-06-01,501,61,Mechs|Character Customization|Action|Robots|Third Person
2025-07-01,414,28,Mechs|Character Customization|Action|Robots|Third Person
2025-08-01,398,17,Mechs|Character Customization|Action|Robots|Third Person
2025-09-01,296,27,Mechs|Character Customization|Action|Robots|Third Person
2025-10-01,465,59,Mechs|Character Customization|Action|Robots|Third Person
2025-11-01,301,20,Mechs|Character Customization|Action|Robots|Third Person
2025-12-01,517,64,Mechs|Character Customization|Action|Robots|Third Person
2026-01-01,696,54,Mechs|Character Customization|Action|Robots|Third Person
2026-02-01,438,45,Mechs|Character Customization|Action|Robots|Third Person
2026-03-01,268,29,Mechs|Character Customization|Action|Robots|Third Person
2026-04-01,147,10,Mechs|Character Customization|Action|Robots|Third Person
