Date,Price
2024-05-02,621
2024-05-16,690
2024-06-27,621
2024-07-11,690
2024-08-08,621
2024-08-15,690
2024-10-24,621
2024-11-07,690
2024-11-28,586
2024-12-05,690
2024-12-09,621
2025-01-03,690
2025-02-20,586
2025-02-27,690
2025-03-13,586
2025-03-20,690
2025-04-02,621
2025-04-16,690
2025-05-21,621
2025-05-28,690
2025-06-26,621
2025-06-27,621
2025-07-10,690
2025-07-17,621
2025-07-29,690
2025-09-29,621
2025-10-06,690
2025-11-06,586
2025-11-13,690
2025-12-18,586
2026-01-05,690
2026-02-12,552
2026-02-25,690
2026-03-19,552
2026-03-26,690
2026-03-31,552
2026-04-04,690
2026-04-15,690
