Date,Positive_Reviews,Negative_Reviews
2024-02-01,10148,236
2024-03-01,12715,395
2024-04-01,6404,227
2024-05-01,4272,113
2024-06-01,2348,61
2024-07-01,2855,78
2024-08-01,2153,52
2024-09-01,1861,27
2024-10-01,1727,45
2024-11-01,22108,172
2024-12-01,19976,383
2025-01-01,11619,309
2025-02-01,6646,182
2025-03-01,7064,213
2025-04-01,5018,169
2025-05-01,4977,125
2025-06-01,4937,118
2025-07-01,4699,140
2025-08-01,2775,85
2025-09-01,2302,81
2025-10-01,2315,76
2025-11-01,2444,75
2025-12-01,2557,76
2026-01-01,2902,84
2026-02-01,2472,91
2026-03-01,2343,77
2026-04-01,1103,48
