Date,Price
2024-05-16,2549
2024-05-23,2999
2024-06-27,2399
2024-07-11,2999
2024-09-05,2399
2024-09-09,2999
2024-11-04,2399
2024-11-11,2999
2024-11-27,2399
2024-12-05,2999
2024-12-20,2399
2025-01-03,2999
2025-02-10,2399
2025-02-17,2999
2025-03-13,2399
2025-03-20,2999
2025-04-07,2399
2025-04-21,2999
2025-05-19,2399
2025-05-26,2999
2025-06-26,2399
2025-06-27,2399
2025-07-10,2999
2025-09-01,2249
2025-09-08,2999
2025-09-29,2249
2025-10-06,2999
2025-12-18,2249
2026-01-05,2999
2026-02-26,2249
2026-03-02,2999
2026-03-19,2249
2026-03-26,2999
2026-04-16,2999
