Date,Price
2024-06-27,88
2024-07-11,880
2024-07-11,264
2024-07-20,880
2024-08-19,220
2024-08-26,880
2024-10-22,220
2024-10-24,880
2024-10-28,220
2024-11-03,880
2024-11-27,220
2024-12-04,880
2024-12-20,220
2025-01-03,880
2025-03-13,220
2025-03-20,880
2025-03-27,440
2025-04-03,880
2025-06-26,220
2025-07-10,880
2025-08-15,220
2025-08-29,880
2025-09-29,220
2025-10-06,880
2025-10-08,220
2025-10-22,880
2025-11-21,220
2025-12-05,880
2025-12-18,220
2026-01-19,880
2026-01-27,899
2026-03-04,225
2026-03-18,899
2026-03-19,225
2026-03-26,899
2026-04-16,899
