Date,Positive_Reviews,Negative_Reviews
2023-10-01,10646,8826
2023-11-01,6379,3161
2023-12-01,1465,1035
2024-01-01,1010,919
2024-02-01,554,1146
2024-03-01,691,1751
2024-04-01,529,1194
2024-05-01,439,639
2024-06-01,491,551
2024-07-01,774,530
2024-08-01,517,388
2024-09-01,437,381
2024-10-01,424,393
2024-11-01,545,505
2024-12-01,807,856
2025-01-01,577,571
2025-02-01,407,518
2025-03-01,683,680
2025-04-01,436,381
2025-05-01,437,414
2025-06-01,461,496
2025-07-01,486,387
2025-08-01,407,311
2025-09-01,342,310
2025-10-01,539,458
2025-11-01,682,563
2025-12-01,591,469
2026-01-01,531,294
2026-02-01,618,295
2026-03-01,792,294
2026-04-01,317,112
