Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-03-01,29861,2783,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-04-01,9446,856,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-05-01,6937,3059,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-06-01,2457,316,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-07-01,4206,533,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-08-01,3009,344,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-09-01,1785,146,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-10-01,2550,199,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-11-01,13033,382,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2020-12-01,7659,572,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-01-01,4846,355,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-02-01,2513,197,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-03-01,3733,245,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-04-01,2367,147,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-05-01,2966,254,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-06-01,2203,167,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-07-01,2938,261,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-08-01,4576,436,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-09-01,2242,199,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-10-01,1548,164,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-11-01,3184,210,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2021-12-01,2771,242,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-01-01,2772,175,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-02-01,1584,125,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-03-01,1047,117,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-04-01,913,77,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-05-01,954,58,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-06-01,1665,114,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-07-01,1654,129,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-08-01,1730,145,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-09-01,1139,89,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-10-01,782,71,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-11-01,1843,735,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2022-12-01,2330,208,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-01-01,2197,208,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-02-01,971,84,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-03-01,1168,104,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-04-01,967,87,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-05-01,1526,129,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-06-01,1358,100,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-07-01,1474,130,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-08-01,1929,175,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-09-01,904,74,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-10-01,756,68,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-11-01,1202,103,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2023-12-01,1315,116,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-01-01,1230,122,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-02-01,1290,148,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-03-01,1364,138,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-04-01,934,82,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-05-01,766,75,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-06-01,1160,132,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-07-01,1786,183,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-08-01,1595,172,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-09-01,800,84,FPS|Action|Gore|Great Soundtrack|Fast-Paced
2024-10-01,665,68,FPS|Action|Gore|Great Soundtrack|Fast-Paced
