Date,Positive_Reviews,Negative_Reviews,Top_Tags
2023-03-01,617,20,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-04-01,8047,336,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-05-01,2144,113,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-06-01,1366,63,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-07-01,1942,77,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-08-01,1444,66,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-09-01,636,24,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-10-01,503,36,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-11-01,3332,65,Exploration|Fishing|Lovecraftian|Adventure|Open World
2023-12-01,1353,85,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-01-01,1080,82,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-02-01,879,46,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-03-01,759,42,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-04-01,610,42,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-05-01,432,20,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-06-01,847,42,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-07-01,901,53,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-08-01,1137,66,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-09-01,729,40,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-10-01,592,32,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-11-01,846,49,Exploration|Fishing|Lovecraftian|Adventure|Open World
2024-12-01,1247,56,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-01-01,1007,42,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-02-01,524,16,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-03-01,1488,53,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-04-01,778,50,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-05-01,654,27,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-06-01,954,62,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-07-01,801,37,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-08-01,641,31,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-09-01,582,27,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-10-01,580,43,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-11-01,611,27,Exploration|Fishing|Lovecraftian|Adventure|Open World
2025-12-01,890,38,Exploration|Fishing|Lovecraftian|Adventure|Open World
2026-01-01,888,42,Exploration|Fishing|Lovecraftian|Adventure|Open World
2026-02-01,513,14,Exploration|Fishing|Lovecraftian|Adventure|Open World
2026-03-01,791,21,Exploration|Fishing|Lovecraftian|Adventure|Open World
2026-04-01,243,9,Exploration|Fishing|Lovecraftian|Adventure|Open World
