Date,Price
2024-04-22,2799
2024-05-22,1679
2024-05-26,2799
2024-05-27,3499
2024-06-27,1749
2024-07-11,3499
2024-07-19,2550
2024-07-26,3499
2024-09-12,1749
2024-09-19,3499
2024-09-19,3149
2024-09-20,3499
2024-10-15,2399
2024-10-28,1524
2024-10-29,1749
2024-11-04,3499
2024-11-27,1749
2024-12-04,3499
2024-12-09,1749
2024-12-16,3499
2024-12-20,1749
2025-01-03,3499
2025-02-12,1749
2025-02-26,3499
2025-03-13,1749
2025-03-20,3499
2025-04-15,1749
2025-04-25,3499
2025-05-26,1749
2025-06-02,3499
2025-06-26,1749
2025-06-27,1749
2025-07-10,3499
2025-07-17,1749
2025-07-28,3499
2025-09-11,1749
2025-09-25,3499
2025-09-29,1749
2025-10-06,3499
2025-10-27,1749
2025-11-03,3499
2025-12-18,1574
2026-01-05,3499
2026-02-05,1749
2026-02-19,3499
2026-03-19,1749
2026-03-26,3499
2026-04-16,3499
