Date,Price
2024-04-23,327
2024-05-02,819
2024-06-03,327
2024-06-17,819
2024-06-27,327
2024-07-11,819
2024-07-25,327
2024-08-08,819
2024-09-11,1159
2024-10-20,463
2024-11-03,1159
2024-11-27,463
2024-12-04,1159
2024-12-20,405
2025-01-03,1159
2025-02-10,463
2025-02-24,1159
2025-03-13,463
2025-03-20,1159
2025-04-02,463
2025-04-15,1159
2025-06-17,695
2025-06-17,463
2025-06-27,463
2025-07-10,1159
2025-07-29,463
2025-08-12,1159
2025-09-23,869
2025-09-29,463
2025-10-06,1159
2025-10-20,463
2025-11-03,1159
2025-11-14,1029
2025-11-25,1112
2025-11-26,1159
2025-12-18,463
2026-01-05,1159
2026-01-27,463
2026-02-10,1159
2026-03-17,463
2026-03-26,1159
2026-04-16,1159
