Date,Positive_Reviews,Negative_Reviews,Top_Tags
2018-02-01,175,9,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-03-01,1380,102,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-04-01,458,41,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-05-01,579,64,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-06-01,374,37,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-07-01,352,40,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-08-01,143,5,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-09-01,330,19,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-10-01,319,22,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-11-01,1317,26,Dwarf|Co-op|PvE|FPS|Procedural Generation
2018-12-01,628,35,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-01-01,510,25,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-02-01,358,16,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-03-01,815,36,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-04-01,226,20,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-05-01,363,14,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-06-01,2301,29,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-07-01,1981,45,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-08-01,148,14,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-09-01,552,26,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-10-01,594,17,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-11-01,2927,27,Dwarf|Co-op|PvE|FPS|Procedural Generation
2019-12-01,1878,27,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-01-01,1433,36,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-02-01,1356,43,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-03-01,3663,91,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-04-01,1565,37,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-05-01,4095,122,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-06-01,2990,87,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-07-01,2518,74,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-08-01,1318,38,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-09-01,2145,51,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-10-01,2094,49,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-11-01,9070,58,Dwarf|Co-op|PvE|FPS|Procedural Generation
2020-12-01,3076,62,Dwarf|Co-op|PvE|FPS|Procedural Generation
2021-01-01,2876,57,Dwarf|Co-op|PvE|FPS|Procedural Generation
2021-02-01,3145,65,Dwarf|Co-op|PvE|FPS|Procedural Generation
