Date,Price
2024-04-24,699
2024-06-13,230
2024-07-11,699
2024-08-01,230
2024-08-15,231
2024-08-15,699
2024-09-14,230
2024-09-28,699
2024-10-28,230
2024-11-11,699
2024-11-27,230
2024-12-04,699
2024-12-11,230
2025-01-03,699
2025-01-31,230
2025-02-14,699
2025-03-13,230
2025-03-31,699
2025-04-30,230
2025-05-14,699
2025-06-13,230
2025-06-27,230
2025-07-10,699
2025-07-26,209
2025-08-09,699
2025-09-08,230
2025-09-22,699
2025-09-29,230
2025-10-06,699
2025-10-22,209
2025-11-05,699
2025-12-05,209
2026-01-05,699
2026-01-20,209
2026-02-03,699
2026-03-05,209
2026-03-26,939
2026-04-16,939
