Date,Price
2024-04-18,2799
2024-05-02,5599
2024-06-01,2799
2024-06-08,5599
2024-06-09,4160
2024-08-21,2496
2024-09-02,4160
2024-10-02,2496
2024-10-07,4160
2024-11-22,2496
2024-12-05,4160
2024-12-20,2496
2025-01-03,4160
2025-01-23,2288
2025-01-30,4160
2025-03-13,2288
2025-03-20,4160
2025-04-14,2288
2025-04-28,4160
2025-05-29,2288
2025-06-12,4160
2025-06-26,2080
2025-06-27,2080
2025-07-10,4160
2025-08-01,1872
2025-08-15,4160
2025-09-23,1872
2025-10-06,4160
2025-11-19,2080
2025-12-03,4160
2025-12-18,2496
2026-01-05,4160
2026-02-09,2496
2026-02-23,4160
2026-03-19,2496
2026-03-26,4160
2026-04-15,4160
