Date,Price
2024-04-15,1984
2024-04-29,3969
2024-06-07,1309
2024-06-21,3969
2024-06-27,1309
2024-07-11,3969
2024-07-22,1309
2024-08-05,3969
2024-09-16,1309
2024-09-29,3969
2024-10-29,1309
2024-11-12,3969
2024-11-27,992
2024-12-05,3969
2024-12-12,992
2025-01-03,3969
2025-01-27,992
2025-02-10,3969
2025-03-12,992
2025-03-24,3969
2025-04-23,992
2025-05-06,3969
2025-06-05,635
2025-06-19,3969
2025-06-27,635
2025-07-10,3969
2025-07-11,3746
2025-08-11,599
2025-08-24,3746
2025-09-23,599
2025-10-07,3746
2025-11-18,599
2025-12-02,3746
2025-12-19,599
2026-01-13,3746
2026-02-12,599
2026-02-26,3746
2026-04-01,599
2026-04-15,599
