Date,Positive_Reviews,Negative_Reviews,Top_Tags
2017-02-01,5540,4714,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-03-01,1553,2237,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-04-01,635,981,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-05-01,356,461,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-06-01,346,354,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-07-01,241,266,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-08-01,618,471,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-09-01,221,250,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-10-01,158,163,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-11-01,850,383,Medieval|Swordplay|Action|Multiplayer|Fighting
2017-12-01,359,262,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-01-01,315,214,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-02-01,410,238,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-03-01,542,296,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-04-01,423,208,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-05-01,1128,624,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-06-01,768,351,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-07-01,628,368,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-08-01,829,476,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-09-01,265,199,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-10-01,298,307,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-11-01,890,264,Medieval|Swordplay|Action|Multiplayer|Fighting
2018-12-01,248,181,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-01-01,262,178,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-02-01,298,273,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-03-01,223,139,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-04-01,218,158,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-05-01,196,144,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-06-01,574,176,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-07-01,707,175,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-08-01,171,125,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-09-01,92,76,Medieval|Swordplay|Action|Multiplayer|Fighting
2019-10-01,269,93,Medieval|Swordplay|Action|Multiplayer|Fighting
