Date,Price
2024-04-27,224
2024-05-04,1499
2024-06-27,224
2024-07-11,1499
2024-07-15,224
2024-07-22,1499
2024-09-08,224
2024-09-15,1499
2024-10-21,224
2024-10-28,1499
2024-11-27,224
2024-12-04,1499
2024-12-05,224
2024-12-12,1499
2024-12-20,224
2025-01-03,1499
2025-01-12,224
2025-01-19,1499
2025-02-27,224
2025-03-20,1499
2025-04-13,224
2025-04-20,1499
2025-06-10,224
2025-06-17,1499
2025-06-26,224
2025-06-27,224
2025-07-10,1499
2025-07-24,224
2025-07-31,1499
2025-09-07,224
2025-09-14,1499
2025-09-29,224
2025-10-06,1499
2025-10-22,224
2025-10-29,1499
2025-12-04,224
2025-12-09,1499
2025-12-18,74
2026-01-05,1499
2026-01-17,224
2026-01-24,1499
2026-02-26,74
2026-03-12,1499
2026-03-19,74
2026-03-26,1499
2026-04-16,1499
