Date,Positive_Reviews,Negative_Reviews
2016-02-01,564,3
2016-03-01,2922,28
2016-04-01,1519,19
2016-05-01,944,15
2016-06-01,648,5
2016-07-01,590,6
2016-08-01,582,5
2016-09-01,516,6
2016-10-01,510,8
2016-11-01,3012,4
2016-12-01,628,12
2017-01-01,735,12
2017-02-01,706,12
2017-03-01,560,7
2017-04-01,574,13
2017-05-01,823,13
2017-06-01,826,11
2017-07-01,749,14
2017-08-01,629,10
2017-09-01,601,9
2017-10-01,593,9
2017-11-01,2703,13
2017-12-01,888,12
2018-01-01,782,19
2018-02-01,560,18
2018-03-01,617,14
2018-04-01,799,27
2018-05-01,741,12
2018-06-01,676,19
2018-07-01,606,18
2018-08-01,487,12
2018-09-01,394,12
2018-10-01,442,15
2018-11-01,4306,19
2018-12-01,626,13
2019-01-01,606,8
2019-02-01,606,10
2019-03-01,739,16
2019-04-01,462,16
2019-05-01,535,16
2019-06-01,1978,18
2019-07-01,2218,17
2019-08-01,370,10
2019-09-01,317,16
2019-10-01,840,9
2019-11-01,4613,22
2019-12-01,2710,31
2020-01-01,2729,18
2020-02-01,1861,14
2020-03-01,2010,20
2020-04-01,1949,19
2020-05-01,1786,19
2020-06-01,1728,19
2020-07-01,1454,18
2020-08-01,5303,52
2020-09-01,2433,29
2020-10-01,2031,22
2020-11-01,8088,32
2020-12-01,2273,16
2021-01-01,2247,29
2021-02-01,2120,25
2021-03-01,1663,20
2021-04-01,1438,22
2021-05-01,1361,21
2021-06-01,4691,152
2021-07-01,1929,30
2021-08-01,1565,45
2021-09-01,1753,30
2021-10-01,1851,37
2021-11-01,2236,17
2021-12-01,1724,34
2022-01-01,1730,25
2022-02-01,1433,22
2022-03-01,2072,920
2022-04-01,1491,86
2022-05-01,1484,38
2022-06-01,1426,33
2022-07-01,1898,1534
2022-08-01,1342,77
2022-09-01,1251,50
2022-10-01,1231,39
2022-11-01,1991,38
2022-12-01,1808,39
2023-01-01,1651,319
2023-02-01,1162,101
2023-03-01,1202,48
2023-04-01,1140,46
2023-05-01,983,30
2023-06-01,1026,38
2023-07-01,1144,42
2023-08-01,1164,44
2023-09-01,1201,33
2023-10-01,1255,24
2023-11-01,2324,44
2023-12-01,1417,37
2024-01-01,1448,46
2024-02-01,1223,27
2024-03-01,1214,36
2024-04-01,1149,17
2024-05-01,1240,26
2024-06-01,1078,29
2024-07-01,1367,52
2024-08-01,1260,18
2024-09-01,1237,28
2024-10-01,3866,144
2024-11-01,6750,91
2024-12-01,3388,50
2025-01-01,1823,48
2025-02-01,1294,43
2025-03-01,1514,37
2025-04-01,1228,37
2025-05-01,1291,27
2025-06-01,1559,43
2025-07-01,1450,43
2025-08-01,1291,26
2025-09-01,1193,28
2025-10-01,1343,30
2025-11-01,2692,30
2025-12-01,1395,29
2026-01-01,1623,40
2026-02-01,1324,24
2026-03-01,1352,32
2026-04-01,610,15
