Date,Positive_Reviews,Negative_Reviews
2020-04-01,2422,652
2020-05-01,2153,507
2020-06-01,1064,366
2020-07-01,1295,470
2020-08-01,1010,424
2020-09-01,520,213
2020-10-01,899,321
2020-11-01,2867,442
2020-12-01,1332,430
2021-01-01,1117,344
2021-02-01,648,186
2021-03-01,497,154
2021-04-01,511,116
2021-05-01,435,124
2021-06-01,1362,439
2021-07-01,1253,476
2021-08-01,1177,452
2021-09-01,923,610
2021-10-01,1177,427
2021-11-01,1258,312
2021-12-01,967,316
2022-01-01,910,351
2022-02-01,593,219
2022-03-01,452,170
2022-04-01,302,110
2022-05-01,404,154
2022-06-01,587,223
2022-07-01,663,246
2022-08-01,516,203
2022-09-01,522,231
2022-10-01,790,336
2022-11-01,746,212
2022-12-01,584,218
2023-01-01,781,275
2023-02-01,419,156
2023-03-01,521,209
2023-04-01,352,152
2023-05-01,254,131
2023-06-01,390,137
2023-07-01,845,273
2023-08-01,770,280
2023-09-01,369,116
2023-10-01,493,184
2023-11-01,965,233
2023-12-01,734,318
2024-01-01,597,206
2024-02-01,423,203
2024-03-01,498,210
2024-04-01,2954,1076
2024-05-01,2121,584
2024-06-01,1055,363
2024-07-01,955,431
2024-08-01,557,255
2024-09-01,457,176
2024-10-01,407,229
2024-11-01,921,176
2024-12-01,760,234
2025-01-01,387,169
2025-02-01,273,111
2025-03-01,475,190
2025-04-01,340,166
2025-05-01,274,129
2025-06-01,330,174
2025-07-01,409,157
2025-08-01,454,210
2025-09-01,331,259
2025-10-01,660,302
2025-11-01,988,211
2025-12-01,986,647
2026-01-01,1312,814
2026-02-01,1088,548
2026-03-01,631,330
2026-04-01,202,108
