Date,Price
2024-04-25,480
2024-05-09,169
2024-05-23,480
2024-06-06,96
2024-06-20,480
2024-06-27,96
2024-07-11,480
2024-07-20,48
2024-08-03,480
2024-08-05,212
2024-08-19,480
2024-09-02,96
2024-09-16,480
2024-10-01,169
2024-10-15,480
2024-10-16,96
2024-10-30,480
2024-11-16,254
2024-11-21,480
2024-11-27,96
2024-12-18,480
2024-12-20,96
2025-01-03,480
2025-01-03,169
2025-01-17,96
2025-01-31,480
2025-03-02,169
2025-03-12,480
2025-03-13,96
2025-04-03,480
2025-04-17,169
2025-05-01,480
2025-05-05,96
2025-05-19,480
2025-06-05,169
2025-06-19,480
2025-06-27,96
2025-07-10,480
2025-07-11,96
2025-07-25,254
2025-08-08,480
2025-08-25,96
2025-09-08,212
2025-09-22,480
2025-09-29,96
2025-10-06,480
2025-10-08,96
2025-10-22,169
2025-11-05,480
2025-11-21,96
2025-12-05,169
2025-12-18,48
2026-01-19,169
2026-02-02,480
2026-02-18,96
2026-03-04,169
2026-03-18,480
2026-03-19,48
2026-03-26,480
2026-04-13,96
2026-04-15,96
