Date,Price
2024-04-18,3999
2024-05-30,1999
2024-06-10,3999
2024-06-27,1599
2024-07-11,3999
2024-08-29,1199
2024-09-05,3999
2024-10-24,1199
2024-11-04,3999
2024-11-27,1199
2024-12-04,3999
2024-12-20,999
2025-01-03,3999
2025-02-03,1199
2025-02-10,3999
2025-03-13,999
2025-03-20,3999
2025-03-24,999
2025-04-02,3999
2025-05-19,999
2025-05-26,3999
2025-06-26,999
2025-06-27,999
2025-07-10,3999
2025-08-25,799
2025-09-02,3999
2025-09-29,799
2025-10-06,3999
2025-10-16,599
2025-10-23,3999
2025-11-24,599
2025-12-08,3999
2025-12-18,399
2026-01-06,3999
2026-02-05,599
2026-02-12,3999
2026-03-14,599
2026-03-26,3999
2026-04-16,3999
