Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-08-01,14661,5865,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2020-09-01,2571,320,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2020-10-01,1331,160,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2020-11-01,3350,132,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2020-12-01,1292,81,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-01-01,1845,114,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-02-01,835,61,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-03-01,752,60,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-04-01,2862,314,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-05-01,1401,109,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-06-01,1598,188,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-07-01,2176,186,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-08-01,1052,91,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-09-01,874,68,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-10-01,1350,108,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-11-01,1737,120,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2021-12-01,2311,205,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-01-01,2470,208,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-02-01,1817,218,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-03-01,1053,97,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-04-01,1273,112,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-05-01,899,79,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-06-01,886,80,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-07-01,976,84,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-08-01,905,89,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-09-01,1135,101,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-10-01,850,81,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-11-01,1063,71,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2022-12-01,2196,209,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-01-01,2116,201,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-02-01,1106,92,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-03-01,1226,151,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-04-01,1145,160,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-05-01,1001,102,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-06-01,798,91,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-07-01,1109,106,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-08-01,619,77,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-09-01,974,80,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-10-01,609,67,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-11-01,1064,80,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2023-12-01,2478,243,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-01-01,1585,122,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-02-01,947,111,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-03-01,1978,250,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-04-01,998,102,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-05-01,675,315,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-06-01,603,87,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-07-01,1021,105,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-08-01,613,73,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-09-01,917,151,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-10-01,675,231,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-11-01,559,83,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2024-12-01,524,81,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-01-01,380,59,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-02-01,256,47,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-03-01,293,44,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-04-01,228,33,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-05-01,194,38,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-06-01,240,56,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-07-01,227,45,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-08-01,195,32,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-09-01,167,19,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-10-01,184,24,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-11-01,203,23,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2025-12-01,243,34,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2026-01-01,186,25,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2026-02-01,177,27,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2026-03-01,157,29,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
2026-04-01,75,10,Open World|Adventure|Female Protagonist|Singleplayer|Story Rich
