Date,Price
2024-04-22,1499
2024-04-23,792
2024-05-23,1499
2024-05-23,524
2024-06-06,1499
2024-06-07,792
2024-06-27,1499
2024-06-27,524
2024-07-11,1249
2024-08-15,999
2024-08-22,1249
2024-10-21,936
2024-11-04,1249
2024-11-27,811
2024-12-04,1249
2024-12-12,624
2025-01-03,1249
2025-01-23,749
2025-02-03,1249
2025-03-13,624
2025-04-03,1249
2025-05-03,624
2025-05-10,1249
2025-06-18,624
2025-06-26,1249
2025-06-26,624
2025-06-27,624
2025-07-10,1249
2025-07-24,834
2025-07-26,624
2025-08-08,1249
2025-09-25,562
2025-10-06,1249
2025-10-20,751
2025-10-29,562
2025-11-03,1249
2025-12-11,562
2026-01-05,1249
2026-01-07,751
2026-01-14,1249
2026-02-09,562
2026-02-23,1249
2026-03-19,667
2026-03-19,562
2026-03-26,667
2026-04-02,1249
2026-04-15,562
2026-04-16,562
