Date,Positive_Reviews,Negative_Reviews
2023-02-01,4825,4602
2023-03-01,1444,1317
2023-04-01,342,227
2023-05-01,190,204
2023-06-01,195,246
2023-07-01,171,248
2023-08-01,125,277
2023-09-01,102,220
2023-10-01,116,229
2023-11-01,286,116
2023-12-01,1010,276
2024-01-01,547,200
2024-02-01,248,91
2024-03-01,268,110
2024-04-01,129,83
2024-05-01,140,2124
2024-06-01,94,927
2024-07-01,58,1169
2024-08-01,50,443
2024-09-01,55,395
2024-10-01,47,312
2024-11-01,45,336
2024-12-01,45,566
2025-01-01,41,415
2025-02-01,38,314
2025-03-01,42,235
2025-04-01,36,211
2025-05-01,34,172
2025-06-01,34,222
2025-07-01,24,216
2025-08-01,19,228
2025-09-01,20,112
2025-10-01,10,112
2025-11-01,25,176
2025-12-01,25,117
2026-01-01,25,132
2026-02-01,32,82
2026-03-01,27,97
2026-04-01,32,140
