Date,Positive_Reviews,Negative_Reviews
2023-08-01,420,975
2023-09-01,303,555
2023-10-01,296,467
2023-11-01,316,351
2023-12-01,381,437
2024-01-01,449,423
2024-02-01,446,455
2024-03-01,320,306
2024-04-01,208,143
2024-05-01,192,224
2024-06-01,150,112
2024-07-01,176,147
2024-08-01,72,77
2024-09-01,56,33
2024-10-01,47,41
2024-11-01,47,32
2024-12-01,45,23
2025-01-01,36,20
2025-02-01,21,19
2025-03-01,17,15
2025-04-01,9,4
2025-05-01,13,10
2025-06-01,8,6
2025-07-01,9,5
2025-08-01,10,9
2025-09-01,13,13
2025-10-01,14,6
2025-11-01,15,5
2025-12-01,14,7
2026-01-01,12,7
2026-02-01,6,1
2026-03-01,2,1
2026-04-01,1,0
