Date,Positive_Reviews,Negative_Reviews,Top_Tags
2018-08-01,18032,12059,Co-op|Multiplayer|Action|Open World|RPG
2018-09-01,3791,824,Co-op|Multiplayer|Action|Open World|RPG
2018-10-01,2369,767,Co-op|Multiplayer|Action|Open World|RPG
2018-11-01,10182,938,Co-op|Multiplayer|Action|Open World|RPG
2018-12-01,2031,495,Co-op|Multiplayer|Action|Open World|RPG
2019-01-01,1976,483,Co-op|Multiplayer|Action|Open World|RPG
2019-02-01,1405,270,Co-op|Multiplayer|Action|Open World|RPG
2019-03-01,781,134,Co-op|Multiplayer|Action|Open World|RPG
2019-04-01,952,161,Co-op|Multiplayer|Action|Open World|RPG
2019-05-01,935,147,Co-op|Multiplayer|Action|Open World|RPG
2019-06-01,4513,203,Co-op|Multiplayer|Action|Open World|RPG
2019-07-01,6763,451,Co-op|Multiplayer|Action|Open World|RPG
2019-08-01,1144,281,Co-op|Multiplayer|Action|Open World|RPG
2019-09-01,1383,322,Co-op|Multiplayer|Action|Open World|RPG
2019-10-01,2799,231,Co-op|Multiplayer|Action|Open World|RPG
2019-11-01,10163,319,Co-op|Multiplayer|Action|Open World|RPG
2019-12-01,9593,450,Co-op|Multiplayer|Action|Open World|RPG
2020-01-01,15058,2501,Co-op|Multiplayer|Action|Open World|RPG
2020-02-01,10517,1191,Co-op|Multiplayer|Action|Open World|RPG
2020-03-01,7592,1012,Co-op|Multiplayer|Action|Open World|RPG
2020-04-01,5220,538,Co-op|Multiplayer|Action|Open World|RPG
2020-05-01,4370,443,Co-op|Multiplayer|Action|Open World|RPG
2020-06-01,2987,281,Co-op|Multiplayer|Action|Open World|RPG
2020-07-01,5411,514,Co-op|Multiplayer|Action|Open World|RPG
2020-08-01,3070,251,Co-op|Multiplayer|Action|Open World|RPG
2020-09-01,2818,200,Co-op|Multiplayer|Action|Open World|RPG
2020-10-01,4108,391,Co-op|Multiplayer|Action|Open World|RPG
2020-11-01,4653,234,Co-op|Multiplayer|Action|Open World|RPG
2020-12-01,4788,2590,Co-op|Multiplayer|Action|Open World|RPG
2021-01-01,3700,279,Co-op|Multiplayer|Action|Open World|RPG
2021-02-01,2643,198,Co-op|Multiplayer|Action|Open World|RPG
2021-03-01,2393,152,Co-op|Multiplayer|Action|Open World|RPG
2021-04-01,2865,210,Co-op|Multiplayer|Action|Open World|RPG
2021-05-01,2472,201,Co-op|Multiplayer|Action|Open World|RPG
2021-06-01,2526,232,Co-op|Multiplayer|Action|Open World|RPG
2021-07-01,2988,299,Co-op|Multiplayer|Action|Open World|RPG
2021-08-01,2845,237,Co-op|Multiplayer|Action|Open World|RPG
2021-09-01,1789,132,Co-op|Multiplayer|Action|Open World|RPG
2021-10-01,2026,176,Co-op|Multiplayer|Action|Open World|RPG
2021-11-01,2213,148,Co-op|Multiplayer|Action|Open World|RPG
2021-12-01,2381,148,Co-op|Multiplayer|Action|Open World|RPG
2022-01-01,2321,185,Co-op|Multiplayer|Action|Open World|RPG
2022-02-01,1318,88,Co-op|Multiplayer|Action|Open World|RPG
2022-03-01,1623,148,Co-op|Multiplayer|Action|Open World|RPG
2022-04-01,1197,89,Co-op|Multiplayer|Action|Open World|RPG
2022-05-01,1789,169,Co-op|Multiplayer|Action|Open World|RPG
2022-06-01,1647,131,Co-op|Multiplayer|Action|Open World|RPG
2022-07-01,1643,143,Co-op|Multiplayer|Action|Open World|RPG
2022-08-01,1533,124,Co-op|Multiplayer|Action|Open World|RPG
2022-09-01,1096,94,Co-op|Multiplayer|Action|Open World|RPG
2022-10-01,1017,90,Co-op|Multiplayer|Action|Open World|RPG
2022-11-01,1703,120,Co-op|Multiplayer|Action|Open World|RPG
2022-12-01,1319,111,Co-op|Multiplayer|Action|Open World|RPG
2023-01-01,1797,137,Co-op|Multiplayer|Action|Open World|RPG
2023-02-01,1331,100,Co-op|Multiplayer|Action|Open World|RPG
2023-03-01,1850,162,Co-op|Multiplayer|Action|Open World|RPG
2023-04-01,1196,101,Co-op|Multiplayer|Action|Open World|RPG
2023-05-01,1114,88,Co-op|Multiplayer|Action|Open World|RPG
2023-06-01,1331,114,Co-op|Multiplayer|Action|Open World|RPG
2023-07-01,1544,115,Co-op|Multiplayer|Action|Open World|RPG
2023-08-01,1232,86,Co-op|Multiplayer|Action|Open World|RPG
2023-09-01,1371,97,Co-op|Multiplayer|Action|Open World|RPG
2023-10-01,1514,143,Co-op|Multiplayer|Action|Open World|RPG
2023-11-01,2954,150,Co-op|Multiplayer|Action|Open World|RPG
2023-12-01,5062,423,Co-op|Multiplayer|Action|Open World|RPG
2024-01-01,6715,982,Co-op|Multiplayer|Action|Open World|RPG
2024-02-01,2829,275,Co-op|Multiplayer|Action|Open World|RPG
2024-03-01,4576,488,Co-op|Multiplayer|Action|Open World|RPG
2024-04-01,2860,279,Co-op|Multiplayer|Action|Open World|RPG
2024-05-01,2175,213,Co-op|Multiplayer|Action|Open World|RPG
2024-06-01,3907,390,Co-op|Multiplayer|Action|Open World|RPG
2024-07-01,2742,250,Co-op|Multiplayer|Action|Open World|RPG
2024-08-01,3139,268,Co-op|Multiplayer|Action|Open World|RPG
2024-09-01,2691,291,Co-op|Multiplayer|Action|Open World|RPG
2024-10-01,3227,382,Co-op|Multiplayer|Action|Open World|RPG
2024-11-01,3959,356,Co-op|Multiplayer|Action|Open World|RPG
2024-12-01,2831,258,Co-op|Multiplayer|Action|Open World|RPG
2025-01-01,2163,194,Co-op|Multiplayer|Action|Open World|RPG
2025-02-01,2766,255,Co-op|Multiplayer|Action|Open World|RPG
2025-03-01,2354,231,Co-op|Multiplayer|Action|Open World|RPG
2025-04-01,1373,156,Co-op|Multiplayer|Action|Open World|RPG
2025-05-01,1604,193,Co-op|Multiplayer|Action|Open World|RPG
2025-06-01,1817,210,Co-op|Multiplayer|Action|Open World|RPG
2025-07-01,1549,176,Co-op|Multiplayer|Action|Open World|RPG
2025-08-01,1341,168,Co-op|Multiplayer|Action|Open World|RPG
2025-09-01,929,152,Co-op|Multiplayer|Action|Open World|RPG
2025-10-01,1060,164,Co-op|Multiplayer|Action|Open World|RPG
2025-11-01,1267,126,Co-op|Multiplayer|Action|Open World|RPG
2025-12-01,1353,137,Co-op|Multiplayer|Action|Open World|RPG
2026-01-01,1192,131,Co-op|Multiplayer|Action|Open World|RPG
2026-02-01,983,129,Co-op|Multiplayer|Action|Open World|RPG
2026-03-01,876,100,Co-op|Multiplayer|Action|Open World|RPG
2026-04-01,1102,158,Co-op|Multiplayer|Action|Open World|RPG
