Date,Price
2024-04-29,2497
2024-05-29,824
2024-06-12,2497
2024-06-27,824
2024-07-11,2497
2024-08-12,824
2024-08-25,2497
2024-09-24,824
2024-10-08,2497
2024-11-07,824
2024-11-21,2497
2024-11-27,824
2024-12-04,2497
2024-12-20,824
2025-01-03,2497
2025-01-27,824
2025-02-10,2497
2025-04-23,824
2025-05-06,2497
2025-06-05,824
2025-06-19,2497
2025-06-26,824
2025-06-27,824
2025-07-10,2497
2025-07-11,1997
2025-08-11,659
2025-08-24,1997
2025-09-23,659
2025-10-06,1997
2025-10-29,659
2025-11-11,1997
2025-12-11,659
2026-01-05,1997
2026-02-12,659
2026-02-26,1997
2026-04-01,519
2026-04-15,1997
2026-04-16,1997
