Date,Positive_Reviews,Negative_Reviews
2023-09-01,981,8184
2023-10-01,477,1516
2023-11-01,562,1256
2023-12-01,860,1832
2024-01-01,1009,1583
2024-02-01,1031,2567
2024-03-01,1564,3125
2024-04-01,1257,2663
2024-05-01,995,1892
2024-06-01,1124,1830
2024-07-01,1210,1856
2024-08-01,684,875
2024-09-01,377,435
2024-10-01,267,234
2024-11-01,228,179
2024-12-01,229,142
2025-01-01,221,167
2025-02-01,172,132
2025-03-01,180,123
2025-04-01,116,83
2025-05-01,118,86
2025-06-01,93,110
2025-07-01,84,61
2025-08-01,55,57
2025-09-01,55,25
2025-10-01,69,32
2025-11-01,51,29
2025-12-01,56,22
2026-01-01,55,57
2026-02-01,40,29
2026-03-01,33,18
2026-04-01,11,11
