Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-08-01,22057,24935,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2016-09-01,1891,4253,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2016-10-01,1237,2686,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2016-11-01,2015,2307,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2016-12-01,907,469,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-01-01,375,289,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-02-01,228,201,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-03-01,1066,505,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-04-01,190,89,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-05-01,144,123,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-06-01,384,234,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-07-01,375,180,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-08-01,3125,590,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-09-01,451,93,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-10-01,252,94,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-11-01,954,192,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2017-12-01,268,127,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-01-01,223,92,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-02-01,157,89,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-03-01,121,70,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-04-01,130,51,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-05-01,182,52,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-06-01,249,99,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-07-01,7055,1335,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-08-01,4149,1368,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-09-01,420,195,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-10-01,332,127,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-11-01,3506,202,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2018-12-01,980,259,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-01-01,376,131,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-02-01,289,99,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-03-01,368,108,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-04-01,331,93,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-05-01,392,107,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-06-01,1126,141,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-07-01,1502,222,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-08-01,3369,1593,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-09-01,605,228,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-10-01,597,169,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-11-01,2939,155,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2019-12-01,2962,226,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-01-01,2195,185,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-02-01,2232,229,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-03-01,1469,174,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-04-01,3405,391,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-05-01,1420,189,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-06-01,1971,265,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-07-01,2987,300,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-08-01,1312,155,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-09-01,2656,279,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-10-01,2702,304,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-11-01,3950,224,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2020-12-01,2137,221,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-01-01,1844,176,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-02-01,1924,263,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-03-01,1419,155,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-04-01,2426,358,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-05-01,1371,200,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-06-01,2774,282,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-07-01,1757,218,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-08-01,1609,134,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-09-01,5817,594,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-10-01,1827,231,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-11-01,3210,169,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2021-12-01,1690,224,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-01-01,1197,154,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-02-01,1437,198,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-03-01,934,118,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-04-01,2613,366,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-05-01,2210,274,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-06-01,2217,310,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-07-01,3180,361,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-08-01,2249,230,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-09-01,1192,100,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-10-01,1944,763,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-11-01,3019,158,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2022-12-01,1547,193,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-01-01,1141,135,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-02-01,940,235,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-03-01,1338,245,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-04-01,1864,312,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-05-01,804,129,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-06-01,1904,300,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-07-01,1318,212,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-08-01,1415,194,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-09-01,3847,310,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-10-01,2005,265,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-11-01,3690,141,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2023-12-01,1899,207,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-01-01,1126,115,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-02-01,1565,141,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-03-01,1686,154,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-04-01,2712,164,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-05-01,1109,98,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-06-01,1366,142,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-07-01,6807,588,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-08-01,3397,280,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-09-01,3319,373,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
2024-10-01,1638,234,Open World|Open World Survival Craft|Space|Exploration|Sci-fi
