Date,Price
2024-05-27,1200
2024-06-10,2400
2024-06-27,1200
2024-07-11,2400
2024-07-15,960
2024-07-29,2400
2024-09-02,960
2024-09-16,1724
2024-09-23,2400
2024-10-21,960
2024-11-04,2400
2024-11-27,960
2024-12-18,2400
2024-12-20,960
2025-01-03,2400
2025-01-27,960
2025-02-10,2356
2025-02-17,2400
2025-03-13,960
2025-03-20,2400
2025-03-24,960
2025-04-07,2400
2025-05-26,960
2025-06-09,2400
2025-06-26,960
2025-06-27,960
2025-07-10,2400
2025-07-14,960
2025-07-26,2400
2025-08-25,960
2025-09-08,2400
2025-09-29,960
2025-10-06,2400
2025-10-20,960
2025-11-03,2400
2025-12-03,960
2025-12-17,2400
2025-12-18,960
2026-01-05,2400
2026-02-09,960
2026-02-23,2400
2026-03-19,960
2026-03-26,2400
2026-04-06,960
2026-04-16,960
