Date,Positive_Reviews,Negative_Reviews
2023-09-01,10202,19151
2023-10-01,2246,1737
2023-11-01,1758,957
2023-12-01,478,770
2024-01-01,262,539
2024-02-01,110,379
2024-03-01,130,569
2024-04-01,97,268
2024-05-01,98,347
2024-06-01,281,352
2024-07-01,423,281
2024-08-01,340,337
2024-09-01,734,327
2024-10-01,386,98
2024-11-01,501,250
2024-12-01,403,281
2025-01-01,316,227
2025-02-01,314,180
2025-03-01,377,191
2025-04-01,161,120
2025-05-01,169,110
2025-06-01,231,157
2025-07-01,747,408
2025-08-01,194,122
2025-09-01,246,201
2025-10-01,250,205
2025-11-01,183,104
2025-12-01,209,129
2026-01-01,201,185
2026-02-01,92,79
2026-03-01,180,132
2026-04-01,56,37
