Date,Positive_Reviews,Negative_Reviews
2011-04-01,754,1
2011-05-01,276,2
2011-06-01,73,0
2011-07-01,589,0
2011-08-01,117,1
2011-09-01,65,0
2011-10-01,192,1
2011-11-01,128,3
2011-12-01,886,1
2012-01-01,218,0
2012-02-01,71,1
2012-03-01,126,0
2012-04-01,87,3
2012-05-01,287,1
2012-06-01,109,0
2012-07-01,939,1
2012-08-01,270,0
2012-09-01,189,0
2012-10-01,101,0
2012-11-01,153,1
2012-12-01,392,0
2013-01-01,288,3
2013-02-01,137,0
2013-03-01,170,1
2013-04-01,291,2
2013-05-01,282,1
2013-06-01,213,0
2013-07-01,455,0
2013-08-01,208,1
2013-09-01,182,0
2013-10-01,185,0
2013-11-01,578,2
2013-12-01,2248,13
2014-01-01,1168,10
2014-02-01,698,5
2014-03-01,550,8
2014-04-01,1171,10
2014-05-01,772,3
2014-06-01,1978,13
2014-07-01,1079,14
2014-08-01,1203,11
2014-09-01,842,9
2014-10-01,744,13
2014-11-01,630,9
2014-12-01,1812,20
2015-01-01,1565,16
2015-02-01,1131,12
2015-03-01,720,2
2015-04-01,563,11
2015-05-01,532,8
2015-06-01,1590,25
2015-07-01,818,16
2015-08-01,623,8
2015-09-01,489,4
2015-10-01,488,11
2015-11-01,1360,26
2015-12-01,1994,26
2016-01-01,1610,28
2016-02-01,1240,31
2016-03-01,783,17
2016-04-01,576,8
2016-05-01,586,9
2016-06-01,987,13
2016-07-01,1182,20
2016-08-01,561,18
2016-09-01,539,6
2016-10-01,869,21
2016-11-01,6183,16
2016-12-01,1877,13
2017-01-01,1783,33
2017-02-01,1044,17
2017-03-01,735,18
2017-04-01,595,6
2017-05-01,591,16
2017-06-01,2474,51
2017-07-01,3219,70
2017-08-01,1180,37
2017-09-01,876,20
2017-10-01,795,11
2017-11-01,5313,27
2017-12-01,2516,50
2018-01-01,2255,35
2018-02-01,1486,24
2018-03-01,1116,19
2018-04-01,768,14
2018-05-01,885,12
2018-06-01,1431,44
2018-07-01,1771,30
2018-08-01,867,22
2018-09-01,641,15
2018-10-01,576,10
2018-11-01,5089,42
2018-12-01,1369,35
2019-01-01,1260,29
2019-02-01,1067,22
2019-03-01,740,21
2019-04-01,671,10
2019-05-01,750,20
2019-06-01,5305,44
2019-07-01,6162,70
2019-08-01,772,21
2019-09-01,575,11
2019-10-01,816,13
2019-11-01,4425,34
2019-12-01,7750,77
2020-01-01,5284,58
2020-02-01,3124,49
2020-03-01,3820,34
2020-04-01,4926,50
2020-05-01,4023,47
2020-06-01,3962,44
2020-07-01,6403,66
2020-08-01,3456,50
2020-09-01,2843,31
2020-10-01,2690,26
2020-11-01,5201,60
2020-12-01,6008,82
2021-01-01,5772,63
2021-02-01,3522,36
2021-03-01,4057,50
2021-04-01,4228,49
2021-05-01,3608,55
2021-06-01,3733,52
2021-07-01,5606,76
2021-08-01,3570,54
2021-09-01,2468,34
2021-10-01,2265,35
2021-11-01,4211,56
2021-12-01,4825,68
2022-01-01,5582,72
2022-02-01,4287,45
2022-03-01,3336,52
2022-04-01,2810,37
2022-05-01,2371,32
2022-06-01,2976,50
2022-07-01,4164,74
2022-08-01,2621,42
2022-09-01,2052,38
2022-10-01,2131,53
2022-11-01,4640,77
2022-12-01,6379,93
2023-01-01,5967,88
2023-02-01,2778,43
2023-03-01,7063,123
2023-04-01,3575,70
2023-05-01,3572,56
2023-06-01,2753,44
2023-07-01,6044,109
2023-08-01,4344,80
2023-09-01,4307,79
2023-10-01,3048,58
2023-11-01,4303,62
2023-12-01,4507,81
2024-01-01,6712,131
2024-02-01,3425,58
2024-03-01,4150,76
2024-04-01,2748,41
2024-05-01,3184,58
2024-06-01,3072,127
2024-07-01,5574,99
2024-08-01,3086,57
2024-09-01,1982,41
2024-10-01,3776,65
2024-11-01,4172,54
2024-12-01,4714,93
2025-01-01,3653,64
2025-02-01,4268,68
2025-03-01,3696,79
2025-04-01,2226,43
2025-05-01,2183,33
2025-06-01,2980,67
2025-07-01,3996,80
2025-08-01,2504,40
2025-09-01,1858,31
2025-10-01,2535,45
2025-11-01,2250,40
2025-12-01,3219,59
2026-01-01,3718,52
2026-02-01,2142,35
2026-03-01,2602,45
2026-04-01,1196,18
