Date,Price
2024-04-15,999
2024-04-22,3999
2024-05-30,2499
2024-06-27,1249
2024-07-11,2499
2024-08-08,1249
2024-08-21,2499
2024-10-21,1249
2024-10-28,2499
2024-11-27,1249
2024-12-05,2499
2024-12-20,1249
2025-01-03,2499
2025-03-13,1249
2025-03-20,2499
2025-05-26,1249
2025-06-02,2499
2025-06-27,1249
2025-07-10,2499
2025-07-30,1249
2025-08-13,2499
2025-09-29,1249
2025-10-06,2499
2025-11-24,1249
2025-12-02,2499
2025-12-19,1249
2026-01-05,2499
2026-02-13,1249
2026-02-23,2499
2026-03-19,1249
2026-04-02,2499
2026-04-15,2499
