Date,Price
2024-04-25,1099
2024-06-27,879
2024-07-11,1099
2024-07-15,879
2024-07-29,1099
2024-10-04,879
2024-10-18,1099
2024-11-21,1033
2024-11-25,1099
2024-11-27,879
2024-12-04,1099
2024-12-20,879
2025-01-03,1099
2025-01-23,879
2025-02-06,1099
2025-03-13,879
2025-03-20,1099
2025-03-24,879
2025-04-07,1099
2025-05-14,879
2025-05-21,1099
2025-05-26,1500
2025-06-26,1200
2025-06-27,1200
2025-07-24,1500
2025-09-29,1200
2025-10-06,1500
2025-10-10,1200
2025-10-24,1500
2025-11-24,1200
2025-12-01,1500
2025-12-18,1200
2026-01-05,1500
2026-02-10,1200
2026-02-24,1500
2026-03-19,1200
2026-03-26,1500
2026-04-15,1500
