Date,Price
2024-04-22,479
2024-06-03,95
2024-06-10,479
2024-06-27,143
2024-07-11,479
2024-08-30,167
2024-09-06,479
2024-10-21,169
2024-10-28,479
2024-11-27,141
2024-12-04,479
2024-12-20,141
2025-01-03,479
2025-02-03,143
2025-02-17,479
2025-03-13,143
2025-03-20,479
2025-03-21,141
2025-03-30,479
2025-05-01,119
2025-05-14,479
2025-06-27,119
2025-07-10,479
2025-08-15,119
2025-08-22,479
2025-09-22,119
2025-09-28,479
2025-09-29,119
2025-10-06,479
2025-10-31,119
2025-11-12,479
2025-12-19,141
2026-01-05,479
2026-01-15,119
2026-01-28,479
2026-03-19,119
2026-03-26,479
2026-03-28,119
2026-04-11,479
2026-04-15,479
