Date,Price
2024-04-22,1799
2024-05-27,899
2024-06-03,1799
2024-06-27,1205
2024-07-11,1799
2024-07-15,899
2024-07-22,1799
2024-10-03,1079
2024-10-08,1799
2024-11-07,1079
2024-11-09,1799
2024-11-27,1079
2024-12-04,1799
2024-12-09,899
2025-01-03,1799
2025-02-06,899
2025-02-08,1799
2025-02-11,1700
2025-03-13,1020
2025-03-20,1700
2025-03-24,1020
2025-04-01,1700
2025-05-01,850
2025-05-03,1700
2025-06-26,1020
2025-06-27,1020
2025-07-10,1700
2025-08-07,850
2025-08-14,1700
2025-09-29,850
2025-10-06,1700
2025-10-23,1020
2025-11-06,1700
2025-12-08,850
2026-01-05,1700
2026-02-05,850
2026-02-19,1700
2026-03-19,850
2026-03-26,1700
2026-03-27,1799
2026-04-16,1799
