Date,Positive_Reviews,Negative_Reviews,Top_Tags
2013-12-01,2534,330,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-01-01,6931,852,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-02-01,6967,790,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-03-01,4575,534,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-04-01,3128,408,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-05-01,2427,270,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-06-01,3970,443,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-07-01,2213,346,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-08-01,1528,271,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-09-01,1030,191,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-10-01,1054,274,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-11-01,1011,263,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2014-12-01,1274,291,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-01-01,2120,613,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-02-01,2204,514,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-03-01,1512,363,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-04-01,1306,340,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-05-01,2084,525,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-06-01,2520,655,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-07-01,2475,602,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-08-01,1494,400,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-09-01,1271,340,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-10-01,1362,343,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-11-01,1475,435,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2015-12-01,2575,880,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-01-01,3038,815,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-02-01,2926,809,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-03-01,2112,492,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-04-01,1808,578,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-05-01,1797,410,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-06-01,2165,571,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-07-01,2407,903,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-08-01,1833,611,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-09-01,1373,384,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-10-01,1296,287,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-11-01,5593,633,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2016-12-01,2758,860,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-01-01,2811,822,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-02-01,2857,632,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-03-01,2079,476,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-04-01,1921,403,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-05-01,1807,523,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-06-01,2873,865,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-07-01,2927,921,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-08-01,1884,567,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-09-01,1538,446,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-10-01,2534,642,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-11-01,6036,907,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2017-12-01,2728,822,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-01-01,2707,818,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-02-01,3665,936,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-03-01,1595,415,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-04-01,1213,389,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-05-01,1246,335,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-06-01,2056,950,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-07-01,2190,908,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-08-01,1499,451,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-09-01,1097,308,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-10-01,1291,382,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-11-01,6601,740,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2018-12-01,2209,627,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-01-01,2065,596,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-02-01,1968,574,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-03-01,1692,410,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-04-01,1450,398,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-05-01,1382,417,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-06-01,10895,2050,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-07-01,14504,1974,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-08-01,1646,450,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-09-01,1283,307,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-10-01,3282,361,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-11-01,21115,1354,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2019-12-01,16966,2992,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-01-01,11852,1297,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-02-01,8643,889,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-03-01,10432,1166,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-04-01,9752,1221,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-05-01,8489,915,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-06-01,8249,873,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-07-01,10803,1089,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-08-01,7126,792,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-09-01,6074,601,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-10-01,6928,591,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-11-01,11677,885,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2020-12-01,11828,1090,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-01-01,29516,2509,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-02-01,17921,1386,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-03-01,13012,1109,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-04-01,10843,981,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-05-01,11515,1236,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-06-01,13950,1618,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-07-01,17930,2105,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-08-01,12404,1424,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
2021-09-01,9612,1190,Survival|Crafting|Multiplayer|Open World|Open World Survival Craft
