Date,Price
2024-04-27,1680
2024-06-13,504
2024-07-11,1680
2024-07-30,504
2024-08-13,1680
2024-09-12,504
2024-09-26,1680
2024-10-26,420
2024-11-04,1680
2024-11-27,420
2024-12-04,1680
2024-12-05,420
2025-01-03,1680
2025-01-20,420
2025-02-03,1680
2025-03-06,336
2025-03-20,1680
2025-06-17,336
2025-07-10,1680
2025-08-28,336
2025-09-04,1680
2025-09-29,252
2025-10-06,1680
2025-10-23,252
2025-11-06,1680
2025-12-13,252
2026-01-05,1680
2026-01-17,252
2026-01-24,1680
2026-02-23,252
2026-03-02,1680
2026-03-19,252
2026-03-26,1680
2026-04-09,252
2026-04-16,252
