Date,Positive_Reviews,Negative_Reviews,Top_Tags
2020-06-01,13441,1881,Multiplayer|Open World|Adventure|Pirates|Co-op
2020-07-01,7939,1258,Multiplayer|Open World|Adventure|Pirates|Co-op
2020-08-01,4602,561,Multiplayer|Open World|Adventure|Pirates|Co-op
2020-09-01,4446,558,Multiplayer|Open World|Adventure|Pirates|Co-op
2020-10-01,2887,333,Multiplayer|Open World|Adventure|Pirates|Co-op
2020-11-01,17295,803,Multiplayer|Open World|Adventure|Pirates|Co-op
2020-12-01,8607,771,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-01-01,10896,1065,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-02-01,6424,642,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-03-01,4955,430,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-04-01,9674,935,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-05-01,6251,702,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-06-01,12052,1506,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-07-01,10041,1162,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-08-01,4778,561,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-09-01,4767,558,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-10-01,3647,382,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-11-01,6906,475,Multiplayer|Open World|Adventure|Pirates|Co-op
2021-12-01,7397,676,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-01-01,8167,870,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-02-01,4848,589,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-03-01,3658,457,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-04-01,6343,714,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-05-01,4271,475,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-06-01,6027,668,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-07-01,5613,712,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-08-01,4378,603,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-09-01,4169,506,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-10-01,2740,335,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-11-01,6048,531,Multiplayer|Open World|Adventure|Pirates|Co-op
2022-12-01,4422,541,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-01-01,4818,547,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-02-01,3862,498,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-03-01,4187,499,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-04-01,3785,506,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-05-01,3432,482,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-06-01,2702,341,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-07-01,4668,652,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-08-01,2586,431,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-09-01,2883,430,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-10-01,3692,575,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-11-01,4083,388,Multiplayer|Open World|Adventure|Pirates|Co-op
2023-12-01,2740,480,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-01-01,3612,539,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-02-01,2689,383,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-03-01,3032,472,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-04-01,2922,527,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-05-01,3811,703,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-06-01,3460,728,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-07-01,2954,682,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-08-01,2240,523,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-09-01,1645,368,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-10-01,1593,313,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-11-01,2195,286,Multiplayer|Open World|Adventure|Pirates|Co-op
2024-12-01,2018,273,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-01-01,1474,267,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-02-01,2151,405,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-03-01,2053,378,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-04-01,1335,306,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-05-01,1465,328,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-06-01,1356,293,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-07-01,1775,504,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-08-01,1183,339,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-09-01,815,186,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-10-01,952,232,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-11-01,1509,199,Multiplayer|Open World|Adventure|Pirates|Co-op
2025-12-01,1386,303,Multiplayer|Open World|Adventure|Pirates|Co-op
2026-01-01,1492,347,Multiplayer|Open World|Adventure|Pirates|Co-op
2026-02-01,924,215,Multiplayer|Open World|Adventure|Pirates|Co-op
2026-03-01,1019,292,Multiplayer|Open World|Adventure|Pirates|Co-op
2026-04-01,430,126,Multiplayer|Open World|Adventure|Pirates|Co-op
