Date,Price
2024-04-18,699
2024-04-25,1399
2024-04-26,699
2024-05-02,1399
2024-05-03,3499
2024-06-08,1749
2024-06-16,3499
2024-06-27,1749
2024-07-11,3499
2024-07-25,2859
2024-07-29,3499
2024-08-13,2099
2024-08-19,3499
2024-09-05,2859
2024-09-16,3499
2024-09-19,1749
2024-09-30,3499
2024-10-17,2859
2024-10-28,3499
2024-10-31,1749
2024-11-04,3499
2024-11-27,1749
2024-12-05,3499
2024-12-20,1749
2025-01-03,3499
2025-02-17,1224
2025-02-22,3499
2025-03-13,1749
2025-03-20,3499
2025-03-21,0
2025-03-21,3499
2025-04-24,1749
2025-05-08,3499
2025-06-24,1224
2025-06-27,1224
2025-07-10,3499
2025-08-11,1749
2025-08-18,3499
2025-09-24,1749
2025-10-06,3499
2025-11-21,1749
2025-12-02,3499
2025-12-18,1224
2026-01-05,3499
2026-02-09,1749
2026-02-16,3499
2026-03-19,1749
2026-03-26,3499
2026-04-16,3499
