Date,Positive_Reviews,Negative_Reviews,Top_Tags
2017-11-01,88,1,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2017-12-01,1007,14,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-01-01,2742,94,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-02-01,3286,116,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-03-01,1640,92,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-04-01,1022,49,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-05-01,994,57,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-06-01,1317,45,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-07-01,1830,78,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-08-01,639,32,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-09-01,488,23,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-10-01,436,17,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-11-01,3790,30,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2018-12-01,798,34,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-01-01,1886,42,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-02-01,573,21,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-03-01,400,23,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-04-01,291,20,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-05-01,326,13,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-06-01,2672,33,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-07-01,3623,60,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-08-01,381,24,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-09-01,255,13,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-10-01,797,17,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-11-01,8099,49,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2019-12-01,4540,44,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-01-01,5701,82,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-02-01,3013,29,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-03-01,2381,31,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-04-01,1796,32,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-05-01,1446,27,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-06-01,1442,25,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-07-01,2193,47,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-08-01,1718,34,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-09-01,1133,22,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
2020-10-01,1326,28,Roguelike Deckbuilder|Card Game|Card Battler|Rogue-like|Deckbuilding
