Date,Price
2024-05-15,374
2024-05-29,1100
2024-06-27,374
2024-07-25,1100
2024-08-24,374
2024-09-07,1100
2024-10-21,374
2024-11-04,1100
2024-11-27,374
2024-12-18,1100
2024-12-20,275
2025-01-03,1100
2025-01-17,374
2025-01-31,1100
2025-02-19,1089
2025-03-02,374
2025-03-13,275
2025-03-20,1100
2025-04-12,374
2025-04-26,1100
2025-05-26,374
2025-06-09,1100
2025-06-27,275
2025-06-27,275
2025-07-10,1100
2025-08-30,374
2025-09-13,1100
2025-09-29,275
2025-10-06,1100
2025-10-21,374
2025-11-04,1100
2025-12-04,275
2025-12-18,1100
2025-12-18,110
2026-01-05,1100
2026-01-17,275
2026-01-31,1100
2026-03-05,275
2026-03-18,1100
2026-03-19,275
2026-03-26,1100
2026-04-16,1100
