Date,Positive_Reviews,Negative_Reviews
2016-02-01,1701,15
2016-03-01,10088,137
2016-04-01,3269,72
2016-05-01,1713,44
2016-06-01,1813,47
2016-07-01,1940,54
2016-08-01,990,19
2016-09-01,816,10
2016-10-01,1167,36
2016-11-01,9847,47
2016-12-01,2022,78
2017-01-01,1952,76
2017-02-01,1723,52
2017-03-01,1497,64
2017-04-01,1236,46
2017-05-01,1222,64
2017-06-01,2374,103
2017-07-01,3887,169
2017-08-01,1268,49
2017-09-01,1022,30
2017-10-01,1128,45
2017-11-01,10018,83
2017-12-01,1875,52
2018-01-01,1983,73
2018-02-01,1228,50
2018-03-01,979,44
2018-04-01,951,32
2018-05-01,2900,139
2018-06-01,2040,130
2018-07-01,1985,90
2018-08-01,2159,158
2018-09-01,988,76
2018-10-01,925,66
2018-11-01,7891,69
2018-12-01,1671,91
2019-01-01,1739,113
2019-02-01,1243,73
2019-03-01,1406,80
2019-04-01,1041,67
2019-05-01,1177,57
2019-06-01,12757,129
2019-07-01,12824,169
2019-08-01,864,70
2019-09-01,761,53
2019-10-01,1387,45
2019-11-01,13438,81
2019-12-01,14063,198
2020-01-01,9770,201
2020-02-01,8299,294
2020-03-01,9248,179
2020-04-01,8528,154
2020-05-01,6003,100
2020-06-01,5485,125
2020-07-01,8301,226
2020-08-01,5526,146
2020-09-01,4483,75
2020-10-01,4170,71
2020-11-01,8988,80
2020-12-01,12784,194
2021-01-01,15439,256
2021-02-01,10076,264
2021-03-01,9801,172
2021-04-01,7216,115
2021-05-01,6463,94
2021-06-01,7288,142
2021-07-01,9638,174
2021-08-01,9588,200
2021-09-01,6404,109
2021-10-01,6229,116
2021-11-01,11606,119
2021-12-01,9628,145
2022-01-01,10108,182
2022-02-01,6814,133
2022-03-01,6805,100
2022-04-01,6059,113
2022-05-01,6776,98
2022-06-01,8338,147
2022-07-01,10259,189
2022-08-01,7704,147
2022-09-01,5391,100
2022-10-01,4909,104
2022-11-01,10222,108
2022-12-01,8120,149
2023-01-01,10473,212
2023-02-01,7596,160
2023-03-01,8114,147
2023-04-01,6749,138
2023-05-01,5816,126
2023-06-01,7157,160
2023-07-01,10497,230
2023-08-01,8469,194
2023-09-01,6194,142
2023-10-01,6748,132
2023-11-01,15056,149
2023-12-01,8270,178
2024-01-01,9163,223
2024-02-01,7375,181
2024-03-01,19651,312
2024-04-01,17255,1220
2024-05-01,13674,250
2024-06-01,10227,170
2024-07-01,16384,267
2024-08-01,10897,169
2024-09-01,7574,143
2024-10-01,12331,247
2024-11-01,33252,223
2024-12-01,23128,271
2025-01-01,11989,186
2025-02-01,8040,164
2025-03-01,11486,196
2025-04-01,8268,144
2025-05-01,7832,148
2025-06-01,9297,172
2025-07-01,16939,404
2025-08-01,11161,194
2025-09-01,8089,147
2025-10-01,9651,146
2025-11-01,8902,150
2025-12-01,10203,139
2026-01-01,11659,190
2026-02-01,8135,134
2026-03-01,11106,199
2026-04-01,4474,64
