Date,Positive_Reviews,Negative_Reviews
2023-09-01,47326,15391
2023-10-01,5976,5091
2023-11-01,5394,3791
2023-12-01,2195,5271
2024-01-01,1565,3170
2024-02-01,659,934
2024-03-01,833,1204
2024-04-01,468,629
2024-05-01,701,676
2024-06-01,728,2216
2024-07-01,541,531
2024-08-01,670,558
2024-09-01,619,454
2024-10-01,601,797
2024-11-01,403,313
2024-12-01,466,336
2025-01-01,343,299
2025-02-01,220,195
2025-03-01,256,244
2025-04-01,245,208
2025-05-01,280,210
2025-06-01,219,201
2025-07-01,319,226
2025-08-01,373,279
2025-09-01,229,275
2025-10-01,241,177
2025-11-01,191,165
2025-12-01,262,205
2026-01-01,285,241
2026-02-01,202,142
2026-03-01,376,172
2026-04-01,618,331
