Date,Price
2024-05-20,1999
2024-06-03,4999
2024-06-27,1499
2024-07-11,4999
2024-09-12,999
2024-09-22,4999
2024-10-24,999
2024-11-04,4999
2024-11-27,249
2024-12-04,4999
2024-12-20,249
2025-01-03,4999
2025-02-17,499
2025-02-26,4999
2025-03-13,499
2025-03-20,4999
2025-04-02,499
2025-04-13,4999
2025-06-02,499
2025-06-09,4999
2025-06-27,249
2025-07-17,4999
2025-08-25,249
2025-09-01,4999
2025-09-29,249
2025-10-06,4999
2025-10-16,249
2025-10-23,4999
2025-11-24,249
2025-12-08,4999
2025-12-18,249
2026-01-05,4999
2026-01-22,249
2026-01-29,4999
2026-03-05,249
2026-03-13,4999
2026-03-19,249
2026-03-26,4999
2026-04-13,249
2026-04-16,249
