Date,Positive_Reviews,Negative_Reviews
2011-05-01,420,2
2011-06-01,406,2
2011-07-01,1077,6
2011-08-01,425,2
2011-09-01,175,2
2011-10-01,157,1
2011-11-01,169,1
2011-12-01,1794,7
2012-01-01,483,2
2012-02-01,199,3
2012-03-01,180,1
2012-04-01,174,1
2012-05-01,136,1
2012-06-01,135,0
2012-07-01,920,2
2012-08-01,289,2
2012-09-01,225,2
2012-10-01,201,2
2012-11-01,221,1
2012-12-01,300,3
2013-01-01,319,4
2013-02-01,204,1
2013-03-01,326,3
2013-04-01,312,4
2013-05-01,382,7
2013-06-01,339,1
2013-07-01,567,2
2013-08-01,265,2
2013-09-01,222,1
2013-10-01,1125,8
2013-11-01,1810,32
2013-12-01,4124,89
2014-01-01,2330,61
2014-02-01,1353,37
2014-03-01,1112,32
2014-04-01,935,29
2014-05-01,1470,39
2014-06-01,4548,95
2014-07-01,1931,48
2014-08-01,1180,31
2014-09-01,1716,43
2014-10-01,1180,31
2014-11-01,1803,57
2014-12-01,3160,99
2015-01-01,1907,55
2015-02-01,1381,45
2015-03-01,1186,43
2015-04-01,1216,39
2015-05-01,1342,45
2015-06-01,3525,109
2015-07-01,5386,154
2015-08-01,2709,70
2015-09-01,1809,59
2015-10-01,1908,49
2015-11-01,2172,45
2015-12-01,3624,127
2016-01-01,3245,93
2016-02-01,2192,57
2016-03-01,2035,62
2016-04-01,1771,45
2016-05-01,1992,63
2016-06-01,2638,80
2016-07-01,2685,83
2016-08-01,1824,66
2016-09-01,1446,50
2016-10-01,1368,43
2016-11-01,12058,99
2016-12-01,3161,87
2017-01-01,2826,96
2017-02-01,2394,81
2017-03-01,1856,64
2017-04-01,2605,73
2017-05-01,2117,77
2017-06-01,3121,104
2017-07-01,3395,102
2017-08-01,2259,69
2017-09-01,1907,60
2017-10-01,2182,63
2017-11-01,8685,117
2017-12-01,3064,124
2018-01-01,2867,110
2018-02-01,2176,62
2018-03-01,2028,82
2018-04-01,1773,69
2018-05-01,2125,68
2018-06-01,2347,93
2018-07-01,2564,111
2018-08-01,1931,79
2018-09-01,1374,64
2018-10-01,1549,63
2018-11-01,8167,96
2018-12-01,2281,96
2019-01-01,3230,144
2019-02-01,2138,89
2019-03-01,1833,64
2019-04-01,1999,85
2019-05-01,1957,67
2019-06-01,10551,133
2019-07-01,13342,175
2019-08-01,1832,69
2019-09-01,1422,53
2019-10-01,3733,71
2019-11-01,29149,226
2019-12-01,31689,347
2020-01-01,17751,267
2020-02-01,13045,205
2020-03-01,15327,210
2020-04-01,21768,310
2020-05-01,44779,910
2020-06-01,21558,387
2020-07-01,16894,357
2020-08-01,11659,222
2020-09-01,9336,186
2020-10-01,12100,244
2020-11-01,23693,299
2020-12-01,16410,324
2021-01-01,16860,354
2021-02-01,16676,324
2021-03-01,14738,336
2021-04-01,13675,255
2021-05-01,16936,431
2021-06-01,14225,386
2021-07-01,14735,414
2021-08-01,13492,309
2021-09-01,11066,279
2021-10-01,13196,321
2021-11-01,32107,565
2021-12-01,17491,435
2022-01-01,17513,532
2022-02-01,13402,389
2022-03-01,11679,377
2022-04-01,10113,329
2022-05-01,10505,346
2022-06-01,12253,394
2022-07-01,13816,447
2022-08-01,11441,358
2022-09-01,10497,305
2022-10-01,17480,498
2022-11-01,13280,415
2022-12-01,14284,427
2023-01-01,15196,572
2023-02-01,10362,388
2023-03-01,12203,457
2023-04-01,11248,427
2023-05-01,10147,380
2023-06-01,11633,430
2023-07-01,18057,675
2023-08-01,12820,528
2023-09-01,11661,397
2023-10-01,11608,420
2023-11-01,10865,371
2023-12-01,11413,410
2024-01-01,12296,480
2024-02-01,9047,310
2024-03-01,10239,403
2024-04-01,9882,411
2024-05-01,8997,356
2024-06-01,10793,408
2024-07-01,12370,506
2024-08-01,9871,847
2024-09-01,7557,322
2024-10-01,7243,281
2024-11-01,7698,329
2024-12-01,10924,395
2025-01-01,10255,430
2025-02-01,8069,312
2025-03-01,10177,417
2025-04-01,8113,325
2025-05-01,7606,306
2025-06-01,8244,365
2025-07-01,10362,462
2025-08-01,7629,337
2025-09-01,5660,301
2025-10-01,7502,345
2025-11-01,6899,277
2025-12-01,8982,364
2026-01-01,16484,694
2026-02-01,16060,715
2026-03-01,9897,421
2026-04-01,3586,166
