Date,Positive_Reviews,Negative_Reviews,Top_Tags
2016-10-01,69,42,Open World|RPG|Adventure|Singleplayer|Fantasy
2016-11-01,380,83,Open World|RPG|Adventure|Singleplayer|Fantasy
2016-12-01,162,38,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-01-01,296,61,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-02-01,581,104,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-03-01,126,20,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-04-01,138,28,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-05-01,356,51,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-06-01,293,56,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-07-01,330,72,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-08-01,323,82,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-09-01,516,169,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-10-01,287,248,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-11-01,880,108,Open World|RPG|Adventure|Singleplayer|Fantasy
2017-12-01,402,88,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-01-01,359,77,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-02-01,260,40,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-03-01,211,37,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-04-01,417,88,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-05-01,271,28,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-06-01,393,58,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-07-01,365,48,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-08-01,370,74,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-09-01,232,30,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-10-01,197,34,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-11-01,1046,47,Open World|RPG|Adventure|Singleplayer|Fantasy
2018-12-01,380,47,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-01-01,324,49,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-02-01,380,70,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-03-01,300,41,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-04-01,264,26,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-05-01,223,34,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-06-01,1353,73,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-07-01,1798,104,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-08-01,356,41,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-09-01,254,21,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-10-01,535,34,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-11-01,3331,70,Open World|RPG|Adventure|Singleplayer|Fantasy
2019-12-01,3510,71,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-01-01,3004,78,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-02-01,1931,57,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-03-01,2119,50,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-04-01,2121,63,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-05-01,1888,65,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-06-01,2935,111,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-07-01,3327,106,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-08-01,3707,210,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-09-01,1856,53,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-10-01,1697,47,Open World|RPG|Adventure|Singleplayer|Fantasy
2020-11-01,2413,66,Open World|RPG|Adventure|Singleplayer|Fantasy
