Date,Price
2024-05-16,425
2024-05-26,1699
2024-06-27,169
2024-07-11,1699
2024-08-12,424
2024-08-19,1699
2024-09-19,424
2024-09-29,1699
2024-10-29,424
2024-11-10,1699
2024-11-27,424
2024-12-04,1699
2024-12-10,339
2024-12-18,1699
2024-12-20,339
2025-01-03,1699
2025-01-24,339
2025-02-02,1699
2025-03-13,339
2025-03-27,1699
2025-05-15,169
2025-05-25,1699
2025-06-26,339
2025-06-27,339
2025-07-10,1699
2025-08-04,339
2025-08-17,1699
2025-09-18,339
2025-09-28,1699
2025-09-29,339
2025-10-06,1699
2025-10-07,1799
2025-11-27,179
2025-12-11,1799
2025-12-18,179
2026-01-05,1799
2026-02-12,359
2026-02-22,1799
2026-03-19,359
2026-03-26,1799
2026-04-15,1799
