Date,Price
2024-04-22,1999
2024-05-26,499
2024-06-02,1999
2024-06-27,299
2024-07-11,1999
2024-07-28,499
2024-08-04,1999
2024-09-08,499
2024-09-15,1999
2024-11-03,499
2024-11-17,1999
2024-11-28,499
2024-12-05,1999
2024-12-20,499
2025-01-03,1999
2025-01-16,499
2025-01-26,1999
2025-02-27,499
2025-03-20,1999
2025-04-27,499
2025-05-11,1999
2025-06-10,499
2025-06-20,1999
2025-06-27,499
2025-07-10,1999
2025-08-10,499
2025-08-24,1999
2025-09-29,499
2025-10-06,1999
2025-11-22,499
2025-12-06,1999
2025-12-19,499
2026-01-05,1999
2026-02-26,499
2026-03-12,1999
2026-03-19,499
2026-03-26,1999
2026-04-16,1999
